cluster,variable,est,value,type,group
yMOD,sbp,mean,109.06587771204794,Continuous,NA
yMOD,sbp,sd,9.204730397560766,Continuous,NA
yMOD,sbp,median,109.33333333,Continuous,NA
yMOD,sbp,q25,103.33333333,Continuous,NA
yMOD,sbp,q75,114.5,Continuous,NA
yMOD,sbp,min,84.666666667,Continuous,NA
yMOD,sbp,max,135,Continuous,NA
yMOD,sbp,freq,338,Continuous,NA
yMOD,sbp,missing,0,Continuous,NA
yMOD,dbp,mean,64.09043392505207,Continuous,NA
yMOD,dbp,sd,7.27656363817217,Continuous,NA
yMOD,dbp,median,64,Continuous,NA
yMOD,dbp,q25,59.5,Continuous,NA
yMOD,dbp,q75,69.333333333,Continuous,NA
yMOD,dbp,min,42,Continuous,NA
yMOD,dbp,max,88,Continuous,NA
yMOD,dbp,freq,338,Continuous,NA
yMOD,dbp,missing,0,Continuous,NA
yMOD,ldlc,mean,82.11301775147929,Continuous,NA
yMOD,ldlc,sd,23.925445694845756,Continuous,NA
yMOD,ldlc,median,81,Continuous,NA
yMOD,ldlc,q25,65,Continuous,NA
yMOD,ldlc,q75,98,Continuous,NA
yMOD,ldlc,min,27,Continuous,NA
yMOD,ldlc,max,190,Continuous,NA
yMOD,ldlc,freq,338,Continuous,NA
yMOD,ldlc,missing,0,Continuous,NA
yMOD,hdlc,mean,37.75739644970414,Continuous,NA
yMOD,hdlc,sd,7.585279064300193,Continuous,NA
yMOD,hdlc,median,37,Continuous,NA
yMOD,hdlc,q25,33,Continuous,NA
yMOD,hdlc,q75,42,Continuous,NA
yMOD,hdlc,min,13,Continuous,NA
yMOD,hdlc,max,67,Continuous,NA
yMOD,hdlc,freq,338,Continuous,NA
yMOD,hdlc,missing,0,Continuous,NA
yMOD,totalc,mean,141.9277108433735,Continuous,NA
yMOD,totalc,sd,30.072433455881683,Continuous,NA
yMOD,totalc,median,139,Continuous,NA
yMOD,totalc,q25,120,Continuous,NA
yMOD,totalc,q75,158,Continuous,NA
yMOD,totalc,min,77,Continuous,NA
yMOD,totalc,max,277,Continuous,NA
yMOD,totalc,freq,332,Continuous,NA
yMOD,totalc,missing,6,Continuous,NA
yMOD,insulinf,mean,25.39295154185022,Continuous,NA
yMOD,insulinf,sd,17.955945193682407,Continuous,NA
yMOD,insulinf,median,21.6,Continuous,NA
yMOD,insulinf,q25,14.7,Continuous,NA
yMOD,insulinf,q75,32,Continuous,NA
yMOD,insulinf,min,2.2,Continuous,NA
yMOD,insulinf,max,169.2,Continuous,NA
yMOD,insulinf,freq,227,Continuous,NA
yMOD,insulinf,missing,111,Continuous,NA
yMOD,tgl,mean,99.92173913043479,Continuous,NA
yMOD,tgl,sd,57.17881976113732,Continuous,NA
yMOD,tgl,median,86,Continuous,NA
yMOD,tgl,q25,63,Continuous,NA
yMOD,tgl,q75,117,Continuous,NA
yMOD,tgl,min,27,Continuous,NA
yMOD,tgl,max,428,Continuous,NA
yMOD,tgl,freq,230,Continuous,NA
yMOD,tgl,missing,108,Continuous,NA
yMOD,glucosef,mean,102.29130434782608,Continuous,NA
yMOD,glucosef,sd,18.269630539175452,Continuous,NA
yMOD,glucosef,median,98,Continuous,NA
yMOD,glucosef,q25,91,Continuous,NA
yMOD,glucosef,q75,109.75,Continuous,NA
yMOD,glucosef,min,70,Continuous,NA
yMOD,glucosef,max,214,Continuous,NA
yMOD,glucosef,freq,230,Continuous,NA
yMOD,glucosef,missing,108,Continuous,NA
ySIDD,bmi,mean,23.9580784381125,Continuous,NA
ySIDD,bmi,sd,6.097135549782456,Continuous,NA
ySIDD,bmi,median,22.740623231999997,Continuous,NA
ySIDD,bmi,q25,18.93503374625,Continuous,NA
ySIDD,bmi,q75,28.648285739500004,Continuous,NA
ySIDD,bmi,min,13.695138501,Continuous,NA
ySIDD,bmi,max,42.335498708,Continuous,NA
ySIDD,bmi,freq,160,Continuous,NA
ySIDD,bmi,missing,0,Continuous,NA
ySIDD,hba1c,mean,7.612625,Continuous,NA
ySIDD,hba1c,sd,1.9195107105521785,Continuous,NA
ySIDD,hba1c,median,7.3,Continuous,NA
ySIDD,hba1c,q25,6.3,Continuous,NA
ySIDD,hba1c,q75,8.5,Continuous,NA
ySIDD,hba1c,min,4.9,Continuous,NA
ySIDD,hba1c,max,15,Continuous,NA
ySIDD,hba1c,freq,160,Continuous,NA
ySIDD,hba1c,missing,0,Continuous,NA
ySIDD,cpeptidef,mean,1.5376125,Continuous,NA
ySIDD,cpeptidef,sd,0.9610995929224626,Continuous,NA
ySIDD,cpeptidef,median,1.3250000000000002,Continuous,NA
ySIDD,cpeptidef,q25,0.8,Continuous,NA
ySIDD,cpeptidef,q75,2.0325,Continuous,NA
ySIDD,cpeptidef,min,0.05,Continuous,NA
ySIDD,cpeptidef,max,5.36,Continuous,NA
ySIDD,cpeptidef,freq,160,Continuous,NA
ySIDD,cpeptidef,missing,0,Continuous,NA
ySIDD,sbp,mean,108.262291666885,Continuous,NA
ySIDD,sbp,sd,10.751564085439679,Continuous,NA
ySIDD,sbp,median,109.83333333499999,Continuous,NA
ySIDD,sbp,q25,101.166666665,Continuous,NA
ySIDD,sbp,q75,114.1666666675,Continuous,NA
ySIDD,sbp,min,81.333333333,Continuous,NA
ySIDD,sbp,max,139.33333333,Continuous,NA
ySIDD,sbp,freq,160,Continuous,NA
ySIDD,sbp,missing,0,Continuous,NA
ySIDD,dbp,mean,68.19500000004,Continuous,NA
ySIDD,dbp,sd,8.794784522710552,Continuous,NA
ySIDD,dbp,median,69,Continuous,NA
ySIDD,dbp,q25,62,Continuous,NA
ySIDD,dbp,q75,74,Continuous,NA
ySIDD,dbp,min,40,Continuous,NA
ySIDD,dbp,max,89,Continuous,NA
ySIDD,dbp,freq,160,Continuous,NA
ySIDD,dbp,missing,0,Continuous,NA
ySIDD,ldlc,mean,94.80875,Continuous,NA
ySIDD,ldlc,sd,27.0482294320498,Continuous,NA
ySIDD,ldlc,median,93.5,Continuous,NA
ySIDD,ldlc,q25,72,Continuous,NA
ySIDD,ldlc,q75,111.5,Continuous,NA
ySIDD,ldlc,min,39,Continuous,NA
ySIDD,ldlc,max,196,Continuous,NA
ySIDD,ldlc,freq,160,Continuous,NA
ySIDD,ldlc,missing,0,Continuous,NA
ySIDD,hdlc,mean,51.84375,Continuous,NA
ySIDD,hdlc,sd,10.779707744489354,Continuous,NA
ySIDD,hdlc,median,51,Continuous,NA
ySIDD,hdlc,q25,44.75,Continuous,NA
ySIDD,hdlc,q75,60,Continuous,NA
ySIDD,hdlc,min,27,Continuous,NA
ySIDD,hdlc,max,81,Continuous,NA
ySIDD,hdlc,freq,160,Continuous,NA
ySIDD,hdlc,missing,0,Continuous,NA
ySIDD,totalc,mean,164.9935064935065,Continuous,NA
ySIDD,totalc,sd,32.26392322505908,Continuous,NA
ySIDD,totalc,median,164.5,Continuous,NA
ySIDD,totalc,q25,145.25,Continuous,NA
ySIDD,totalc,q75,182.75,Continuous,NA
ySIDD,totalc,min,105,Continuous,NA
ySIDD,totalc,max,288,Continuous,NA
ySIDD,totalc,freq,154,Continuous,NA
ySIDD,totalc,missing,6,Continuous,NA
ySIDD,insulinf,mean,21.857142857142858,Continuous,NA
ySIDD,insulinf,sd,9.980112091687015,Continuous,NA
ySIDD,insulinf,median,18.45,Continuous,NA
ySIDD,insulinf,q25,14.450000000000001,Continuous,NA
ySIDD,insulinf,q75,32.5,Continuous,NA
ySIDD,insulinf,min,8.3,Continuous,NA
ySIDD,insulinf,max,36.7,Continuous,NA
ySIDD,insulinf,freq,14,Continuous,NA
ySIDD,insulinf,missing,146,Continuous,NA
ySIDD,tgl,mean,76.85714285714286,Continuous,NA
ySIDD,tgl,sd,33.992888719796724,Continuous,NA
ySIDD,tgl,median,70,Continuous,NA
ySIDD,tgl,q25,53,Continuous,NA
ySIDD,tgl,q75,85,Continuous,NA
ySIDD,tgl,min,43,Continuous,NA
ySIDD,tgl,max,159,Continuous,NA
ySIDD,tgl,freq,14,Continuous,NA
ySIDD,tgl,missing,146,Continuous,NA
ySIDD,glucosef,mean,124.78571428571429,Continuous,NA
ySIDD,glucosef,sd,28.847553079616972,Continuous,NA
ySIDD,glucosef,median,131.5,Continuous,NA
ySIDD,glucosef,q25,101.5,Continuous,NA
ySIDD,glucosef,q75,140.75,Continuous,NA
ySIDD,glucosef,min,76,Continuous,NA
ySIDD,glucosef,max,170,Continuous,NA
ySIDD,glucosef,freq,14,Continuous,NA
ySIDD,glucosef,missing,146,Continuous,NA
ySIRD,bmi,mean,38.464308650017855,Continuous,NA
ySIRD,bmi,sd,7.1733614489243624,Continuous,NA
ySIRD,bmi,median,38,Continuous,NA
ySIRD,bmi,q25,34.728335512,Continuous,NA
ySIRD,bmi,q75,40.169046770250006,Continuous,NA
ySIRD,bmi,min,25.058023075,Continuous,NA
ySIRD,bmi,max,89.012019185,Continuous,NA
ySIRD,bmi,freq,224,Continuous,NA
ySIRD,bmi,missing,0,Continuous,NA
ySIRD,hba1c,mean,6.830357142857143,Continuous,NA
ySIRD,hba1c,sd,1.6523845677593876,Continuous,NA
ySIRD,hba1c,median,6.25,Continuous,NA
ySIRD,hba1c,q25,5.8,Continuous,NA
ySIRD,hba1c,q75,7.324999999999999,Continuous,NA
ySIRD,hba1c,min,4.7,Continuous,NA
ySIRD,hba1c,max,14.6,Continuous,NA
ySIRD,hba1c,freq,224,Continuous,NA
ySIRD,hba1c,missing,0,Continuous,NA
ySIRD,cpeptidef,mean,4.977205357142857,Continuous,NA
ySIRD,cpeptidef,sd,1.8441212066737662,Continuous,NA
ySIRD,cpeptidef,median,4.75,Continuous,NA
ySIRD,cpeptidef,q25,3.7924999999999995,Continuous,NA
ySIRD,cpeptidef,q75,6.1,Continuous,NA
ySIRD,cpeptidef,min,0.48,Continuous,NA
ySIRD,cpeptidef,max,11.4,Continuous,NA
ySIRD,cpeptidef,freq,224,Continuous,NA
ySIRD,cpeptidef,missing,0,Continuous,NA
ySIRD,sbp,mean,123.28050595255803,Continuous,NA
ySIRD,sbp,sd,9.677372142441335,Continuous,NA
ySIRD,sbp,median,122.66666667,Continuous,NA
ySIRD,sbp,q25,116.66666667,Continuous,NA
ySIRD,sbp,q75,128.5,Continuous,NA
ySIRD,sbp,min,97.333333333,Continuous,NA
ySIRD,sbp,max,156.5,Continuous,NA
ySIRD,sbp,freq,224,Continuous,NA
ySIRD,sbp,missing,0,Continuous,NA
ySIRD,dbp,mean,75.77232142853214,Continuous,NA
ySIRD,dbp,sd,9.151686238214147,Continuous,NA
ySIRD,dbp,median,75.41666666649999,Continuous,NA
ySIRD,dbp,q25,69.875,Continuous,NA
ySIRD,dbp,q75,81.333333333,Continuous,NA
ySIRD,dbp,min,52,Continuous,NA
ySIRD,dbp,max,107.33333333,Continuous,NA
ySIRD,dbp,freq,224,Continuous,NA
ySIRD,dbp,missing,0,Continuous,NA
ySIRD,ldlc,mean,97.54642857142858,Continuous,NA
ySIRD,ldlc,sd,28.948210842028153,Continuous,NA
ySIRD,ldlc,median,95.5,Continuous,NA
ySIRD,ldlc,q25,78,Continuous,NA
ySIRD,ldlc,q75,113,Continuous,NA
ySIRD,ldlc,min,23,Continuous,NA
ySIRD,ldlc,max,231,Continuous,NA
ySIRD,ldlc,freq,224,Continuous,NA
ySIRD,ldlc,missing,0,Continuous,NA
ySIRD,hdlc,mean,37.14910714285714,Continuous,NA
ySIRD,hdlc,sd,8.194195643780946,Continuous,NA
ySIRD,hdlc,median,37,Continuous,NA
ySIRD,hdlc,q25,32,Continuous,NA
ySIRD,hdlc,q75,42,Continuous,NA
ySIRD,hdlc,min,15,Continuous,NA
ySIRD,hdlc,max,66,Continuous,NA
ySIRD,hdlc,freq,224,Continuous,NA
ySIRD,hdlc,missing,0,Continuous,NA
ySIRD,totalc,mean,164.60091743119267,Continuous,NA
ySIRD,totalc,sd,37.8774570200603,Continuous,NA
ySIRD,totalc,median,160,Continuous,NA
ySIRD,totalc,q25,141,Continuous,NA
ySIRD,totalc,q75,183.75,Continuous,NA
ySIRD,totalc,min,54,Continuous,NA
ySIRD,totalc,max,330,Continuous,NA
ySIRD,totalc,freq,218,Continuous,NA
ySIRD,totalc,missing,6,Continuous,NA
ySIRD,insulinf,mean,43.11630434782609,Continuous,NA
ySIRD,insulinf,sd,27.20933613679789,Continuous,NA
ySIRD,insulinf,median,36.15,Continuous,NA
ySIRD,insulinf,q25,26.625,Continuous,NA
ySIRD,insulinf,q75,51.7,Continuous,NA
ySIRD,insulinf,min,6,Continuous,NA
ySIRD,insulinf,max,202.5,Continuous,NA
ySIRD,insulinf,freq,92,Continuous,NA
ySIRD,insulinf,missing,132,Continuous,NA
ySIRD,tgl,mean,131.59139784946237,Continuous,NA
ySIRD,tgl,sd,85.15040868434946,Continuous,NA
ySIRD,tgl,median,112,Continuous,NA
ySIRD,tgl,q25,75,Continuous,NA
ySIRD,tgl,q75,164,Continuous,NA
ySIRD,tgl,min,34,Continuous,NA
ySIRD,tgl,max,541,Continuous,NA
ySIRD,tgl,freq,93,Continuous,NA
ySIRD,tgl,missing,131,Continuous,NA
ySIRD,glucosef,mean,114.01075268817205,Continuous,NA
ySIRD,glucosef,sd,23.73838142519772,Continuous,NA
ySIRD,glucosef,median,108,Continuous,NA
ySIRD,glucosef,q25,97,Continuous,NA
ySIRD,glucosef,q75,130,Continuous,NA
ySIRD,glucosef,min,70,Continuous,NA
ySIRD,glucosef,max,192,Continuous,NA
ySIRD,glucosef,freq,93,Continuous,NA
ySIRD,glucosef,missing,131,Continuous,NA
Total,female,proportion,56.50969529085873,Proportion,NA
Total,female,freq,722,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,31.432545201668983,Proportion,NA
Total,insulin,freq,719,Proportion,NA
Total,insulin,missing,3,Proportion,NA
Total,metformin,proportion,74.54798331015299,Proportion,NA
Total,metformin,freq,719,Proportion,NA
Total,metformin,missing,3,Proportion,NA
yMOD,female,proportion,62.42603550295858,Proportion,NA
yMOD,female,freq,338,Proportion,NA
yMOD,female,missing,0,Proportion,NA
yMOD,insulin,proportion,13.649851632047477,Proportion,NA
yMOD,insulin,freq,337,Proportion,NA
yMOD,insulin,missing,1,Proportion,NA
yMOD,metformin,proportion,88.4272997032641,Proportion,NA
yMOD,metformin,freq,337,Proportion,NA
yMOD,metformin,missing,1,Proportion,NA
ySIDD,female,proportion,47.5,Proportion,NA
ySIDD,female,freq,160,Proportion,NA
ySIDD,female,missing,0,Proportion,NA
ySIDD,insulin,proportion,77.35849056603774,Proportion,NA
ySIDD,insulin,freq,159,Proportion,NA
ySIDD,insulin,missing,1,Proportion,NA
ySIDD,metformin,proportion,30.18867924528302,Proportion,NA
ySIDD,metformin,freq,159,Proportion,NA
ySIDD,metformin,missing,1,Proportion,NA
ySIRD,female,proportion,54.01785714285714,Proportion,NA
ySIRD,female,freq,224,Proportion,NA
ySIRD,female,missing,0,Proportion,NA
ySIRD,insulin,proportion,25.56053811659193,Proportion,NA
ySIRD,insulin,freq,223,Proportion,NA
ySIRD,insulin,missing,1,Proportion,NA
ySIRD,metformin,proportion,85.20179372197309,Proportion,NA
ySIRD,metformin,freq,223,Proportion,NA
ySIRD,metformin,missing,1,Proportion,NA
NA,cluster,proportion,100,Grouped,Total
NA,cluster,freq,722,Grouped,Total
NA,cluster,proportion,100,Grouped,yMOD
NA,cluster,freq,338,Grouped,yMOD
NA,cluster,proportion,100,Grouped,ySIDD
NA,cluster,freq,160,Grouped,ySIDD
NA,cluster,proportion,100,Grouped,ySIRD
NA,cluster,freq,224,Grouped,ySIRD
Total,study,proportion,53.32409972299169,Grouped,SEARCH
Total,study,freq,385,Grouped,SEARCH
Total,study,proportion,46.67590027700831,Grouped,TODAY
Total,study,freq,337,Grouped,TODAY
yMOD,study,proportion,31.952662721893493,Grouped,SEARCH
yMOD,study,freq,108,Grouped,SEARCH
yMOD,study,proportion,68.04733727810651,Grouped,TODAY
yMOD,study,freq,230,Grouped,TODAY
ySIDD,study,proportion,91.25,Grouped,SEARCH
ySIDD,study,freq,146,Grouped,SEARCH
ySIDD,study,proportion,8.75,Grouped,TODAY
ySIDD,study,freq,14,Grouped,TODAY
ySIRD,study,proportion,58.482142857142854,Grouped,SEARCH
ySIRD,study,freq,131,Grouped,SEARCH
ySIRD,study,proportion,41.517857142857146,Grouped,TODAY
ySIRD,study,freq,93,Grouped,TODAY
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,722,Grouped,<=5 months
yMOD,dmduration_category,proportion,100,Grouped,<=5 months
yMOD,dmduration_category,freq,338,Grouped,<=5 months
ySIDD,dmduration_category,proportion,100,Grouped,<=5 months
ySIDD,dmduration_category,freq,160,Grouped,<=5 months
ySIRD,dmduration_category,proportion,100,Grouped,<=5 months
ySIRD,dmduration_category,freq,224,Grouped,<=5 months
Total,age_category,proportion,21.74515235457064,Grouped,14-15
Total,age_category,freq,157,Grouped,14-15
Total,age_category,proportion,40.7202216066482,Grouped,<=13
Total,age_category,freq,294,Grouped,<=13
Total,age_category,proportion,37.53462603878116,Grouped,>15
Total,age_category,freq,271,Grouped,>15
yMOD,age_category,proportion,22.189349112426036,Grouped,14-15
yMOD,age_category,freq,75,Grouped,14-15
yMOD,age_category,proportion,39.053254437869825,Grouped,<=13
yMOD,age_category,freq,132,Grouped,<=13
yMOD,age_category,proportion,38.75739644970414,Grouped,>15
yMOD,age_category,freq,131,Grouped,>15
ySIDD,age_category,proportion,20,Grouped,14-15
ySIDD,age_category,freq,32,Grouped,14-15
ySIDD,age_category,proportion,46.875,Grouped,<=13
ySIDD,age_category,freq,75,Grouped,<=13
ySIDD,age_category,proportion,33.125,Grouped,>15
ySIDD,age_category,freq,53,Grouped,>15
ySIRD,age_category,proportion,22.321428571428573,Grouped,14-15
ySIRD,age_category,freq,50,Grouped,14-15
ySIRD,age_category,proportion,38.839285714285715,Grouped,<=13
ySIRD,age_category,freq,87,Grouped,<=13
ySIRD,age_category,proportion,38.839285714285715,Grouped,>15
ySIRD,age_category,freq,87,Grouped,>15
Total,race_eth,proportion,30.609418282548475,Grouped,Hispanic
Total,race_eth,freq,221,Grouped,Hispanic
Total,race_eth,proportion,30.05540166204986,Grouped,NH Black
Total,race_eth,freq,217,Grouped,NH Black
Total,race_eth,proportion,8.033240997229917,Grouped,NH Other
Total,race_eth,freq,58,Grouped,NH Other
Total,race_eth,proportion,31.301939058171744,Grouped,NH White
Total,race_eth,freq,226,Grouped,NH White
yMOD,race_eth,proportion,38.46153846153846,Grouped,Hispanic
yMOD,race_eth,freq,130,Grouped,Hispanic
yMOD,race_eth,proportion,26.923076923076923,Grouped,NH Black
yMOD,race_eth,freq,91,Grouped,NH Black
yMOD,race_eth,proportion,8.579881656804734,Grouped,NH Other
yMOD,race_eth,freq,29,Grouped,NH Other
yMOD,race_eth,proportion,26.035502958579883,Grouped,NH White
yMOD,race_eth,freq,88,Grouped,NH White
ySIDD,race_eth,proportion,18.75,Grouped,Hispanic
ySIDD,race_eth,freq,30,Grouped,Hispanic
ySIDD,race_eth,proportion,24.375,Grouped,NH Black
ySIDD,race_eth,freq,39,Grouped,NH Black
ySIDD,race_eth,proportion,6.25,Grouped,NH Other
ySIDD,race_eth,freq,10,Grouped,NH Other
ySIDD,race_eth,proportion,50.625,Grouped,NH White
ySIDD,race_eth,freq,81,Grouped,NH White
ySIRD,race_eth,proportion,27.232142857142858,Grouped,Hispanic
ySIRD,race_eth,freq,61,Grouped,Hispanic
ySIRD,race_eth,proportion,38.839285714285715,Grouped,NH Black
ySIRD,race_eth,freq,87,Grouped,NH Black
ySIRD,race_eth,proportion,8.482142857142858,Grouped,NH Other
ySIRD,race_eth,freq,19,Grouped,NH Other
ySIRD,race_eth,proportion,25.446428571428573,Grouped,NH White
ySIRD,race_eth,freq,57,Grouped,NH White
