sex_cluster,variable,est,value,type,group
Female_ID,ldlc,q75,114.25,Continuous,NA
Female_ID,ldlc,min,44,Continuous,NA
Female_ID,ldlc,max,231,Continuous,NA
Female_ID,ldlc,freq,128,Continuous,NA
Female_ID,ldlc,missing,0,Continuous,NA
Female_ID,hdlc,mean,39.53125,Continuous,NA
Female_ID,hdlc,sd,8.06174743176337,Continuous,NA
Female_ID,hdlc,median,39,Continuous,NA
Female_ID,hdlc,q25,34,Continuous,NA
Female_ID,hdlc,q75,43.25,Continuous,NA
Female_ID,hdlc,min,16,Continuous,NA
Female_ID,hdlc,max,66,Continuous,NA
Female_ID,hdlc,freq,128,Continuous,NA
Female_ID,hdlc,missing,0,Continuous,NA
Female_ID,totalc,mean,168.888,Continuous,NA
Female_ID,totalc,sd,36.68901918874717,Continuous,NA
Female_ID,totalc,median,164,Continuous,NA
Female_ID,totalc,q25,146,Continuous,NA
Female_ID,totalc,q75,189,Continuous,NA
Female_ID,totalc,min,89,Continuous,NA
Female_ID,totalc,max,330,Continuous,NA
Female_ID,totalc,freq,125,Continuous,NA
Female_ID,totalc,missing,3,Continuous,NA
Female_ID,insulinf,mean,40.88545454545454,Continuous,NA
Female_ID,insulinf,sd,22.342514018344772,Continuous,NA
Female_ID,insulinf,median,40.2,Continuous,NA
Female_ID,insulinf,q25,25.65,Continuous,NA
Female_ID,insulinf,q75,52.45,Continuous,NA
Female_ID,insulinf,min,2.2,Continuous,NA
Female_ID,insulinf,max,99.3,Continuous,NA
Female_ID,insulinf,freq,55,Continuous,NA
Female_ID,insulinf,missing,73,Continuous,NA
Female_ID,tgl,mean,126.23636363636363,Continuous,NA
Female_ID,tgl,sd,73.33509180628118,Continuous,NA
Female_ID,tgl,median,105,Continuous,NA
Female_ID,tgl,q25,75.5,Continuous,NA
Female_ID,tgl,q75,162.5,Continuous,NA
Female_ID,tgl,min,39,Continuous,NA
Female_ID,tgl,max,422,Continuous,NA
Female_ID,tgl,freq,55,Continuous,NA
Female_ID,tgl,missing,73,Continuous,NA
Female_ID,glucosef,mean,115.41818181818182,Continuous,NA
Female_ID,glucosef,sd,21.939893403545117,Continuous,NA
Female_ID,glucosef,median,111,Continuous,NA
Female_ID,glucosef,q25,99,Continuous,NA
Female_ID,glucosef,q75,131,Continuous,NA
Female_ID,glucosef,min,70,Continuous,NA
Female_ID,glucosef,max,170,Continuous,NA
Female_ID,glucosef,freq,55,Continuous,NA
Female_ID,glucosef,missing,73,Continuous,NA
Female_IR,bmi,mean,33.263866278579485,Continuous,NA
Female_IR,bmi,sd,3.915950115206777,Continuous,NA
Female_IR,bmi,median,32,Continuous,NA
Female_IR,bmi,q25,32,Continuous,NA
Female_IR,bmi,q75,35.7852,Continuous,NA
Female_IR,bmi,min,17.79871458,Continuous,NA
Female_IR,bmi,max,49.893605236,Continuous,NA
Female_IR,bmi,freq,195,Continuous,NA
Female_IR,bmi,missing,0,Continuous,NA
Female_IR,hba1c,mean,5.90051282051282,Continuous,NA
Female_IR,hba1c,sd,0.8070882778462646,Continuous,NA
Female_IR,hba1c,median,5.7,Continuous,NA
Female_IR,hba1c,q25,5.4,Continuous,NA
Female_IR,hba1c,q75,6.25,Continuous,NA
Female_IR,hba1c,min,4.3,Continuous,NA
Female_IR,hba1c,max,9.9,Continuous,NA
Female_IR,hba1c,freq,195,Continuous,NA
Female_IR,hba1c,missing,0,Continuous,NA
Female_IR,cpeptidef,mean,3.6611179487179486,Continuous,NA
Female_IR,cpeptidef,sd,1.6336400572132934,Continuous,NA
Female_IR,cpeptidef,median,3.4,Continuous,NA
Female_IR,cpeptidef,q25,2.675,Continuous,NA
Female_IR,cpeptidef,q75,4.475,Continuous,NA
Female_IR,cpeptidef,min,0.5,Continuous,NA
Female_IR,cpeptidef,max,11.36,Continuous,NA
Female_IR,cpeptidef,freq,195,Continuous,NA
Female_IR,cpeptidef,missing,0,Continuous,NA
Female_IR,sbp,mean,107.27709401694666,Continuous,NA
Female_IR,sbp,sd,8.211360246670527,Continuous,NA
Female_IR,sbp,median,107.5,Continuous,NA
Female_IR,sbp,q25,102,Continuous,NA
Female_IR,sbp,q75,112.25,Continuous,NA
Female_IR,sbp,min,84.666666667,Continuous,NA
Female_IR,sbp,max,138,Continuous,NA
Female_IR,sbp,freq,195,Continuous,NA
Female_IR,sbp,missing,0,Continuous,NA
Female_IR,dbp,mean,63.58358974358974,Continuous,NA
Female_IR,dbp,sd,6.717663513761223,Continuous,NA
Female_IR,dbp,median,63.5,Continuous,NA
Female_IR,dbp,q25,59.75,Continuous,NA
Female_IR,dbp,q75,68.25,Continuous,NA
Female_IR,dbp,min,46,Continuous,NA
Female_IR,dbp,max,78.666666667,Continuous,NA
Female_IR,dbp,freq,195,Continuous,NA
Female_IR,dbp,missing,0,Continuous,NA
Female_IR,ldlc,mean,80.84717948717949,Continuous,NA
Female_IR,ldlc,sd,23.743731234402393,Continuous,NA
Female_IR,ldlc,median,79,Continuous,NA
Female_IR,ldlc,q25,64.5,Continuous,NA
Female_IR,ldlc,q75,93.5,Continuous,NA
Female_IR,ldlc,min,27,Continuous,NA
Female_IR,ldlc,max,190,Continuous,NA
Female_IR,ldlc,freq,195,Continuous,NA
Female_IR,ldlc,missing,0,Continuous,NA
Female_IR,hdlc,mean,38.68615384615384,Continuous,NA
Female_IR,hdlc,sd,7.515808979436918,Continuous,NA
Female_IR,hdlc,median,38,Continuous,NA
Female_IR,hdlc,q25,33,Continuous,NA
Female_IR,hdlc,q75,43,Continuous,NA
Female_IR,hdlc,min,25,Continuous,NA
Female_IR,hdlc,max,67,Continuous,NA
Female_IR,hdlc,freq,195,Continuous,NA
Female_IR,hdlc,missing,0,Continuous,NA
Female_IR,totalc,mean,140.53684210526316,Continuous,NA
Female_IR,totalc,sd,28.62947403683363,Continuous,NA
Female_IR,totalc,median,138.5,Continuous,NA
Female_IR,totalc,q25,120,Continuous,NA
Female_IR,totalc,q75,156.75,Continuous,NA
Female_IR,totalc,min,77,Continuous,NA
Female_IR,totalc,max,277,Continuous,NA
Female_IR,totalc,freq,190,Continuous,NA
Female_IR,totalc,missing,5,Continuous,NA
Female_IR,insulinf,mean,26.64626865671642,Continuous,NA
Female_IR,insulinf,sd,16.397412489424468,Continuous,NA
Female_IR,insulinf,median,22.7,Continuous,NA
Female_IR,insulinf,q25,14.925,Continuous,NA
Female_IR,insulinf,q75,35.175000000000004,Continuous,NA
Female_IR,insulinf,min,3.8,Continuous,NA
Female_IR,insulinf,max,102,Continuous,NA
Female_IR,insulinf,freq,134,Continuous,NA
Female_IR,insulinf,missing,61,Continuous,NA
Female_IR,tgl,mean,102.22962962962963,Continuous,NA
Female_IR,tgl,sd,56.630504508670754,Continuous,NA
Female_IR,tgl,median,88,Continuous,NA
Female_IR,tgl,q25,61.5,Continuous,NA
Female_IR,tgl,q75,126,Continuous,NA
Female_IR,tgl,min,27,Continuous,NA
Female_IR,tgl,max,366,Continuous,NA
Female_IR,tgl,freq,135,Continuous,NA
Female_IR,tgl,missing,60,Continuous,NA
Female_IR,glucosef,mean,100.1037037037037,Continuous,NA
Female_IR,glucosef,sd,16.85950463768053,Continuous,NA
Female_IR,glucosef,median,95,Continuous,NA
Female_IR,glucosef,q25,89,Continuous,NA
Female_IR,glucosef,q75,109,Continuous,NA
Female_IR,glucosef,min,70,Continuous,NA
Female_IR,glucosef,max,162,Continuous,NA
Female_IR,glucosef,freq,135,Continuous,NA
Female_IR,glucosef,missing,60,Continuous,NA
Female_OB,bmi,mean,25.482511598098363,Continuous,NA
Female_OB,bmi,sd,6.044449357662382,Continuous,NA
Female_OB,bmi,median,26.246870481,Continuous,NA
Female_OB,bmi,q25,19.904765177,Continuous,NA
Female_OB,bmi,q75,32,Continuous,NA
Female_OB,bmi,min,14.641738032,Continuous,NA
Female_OB,bmi,max,34.9906,Continuous,NA
Female_OB,bmi,freq,61,Continuous,NA
Female_OB,bmi,missing,0,Continuous,NA
Female_OB,hba1c,mean,7.427868852459016,Continuous,NA
Female_OB,hba1c,sd,2.1404151581364603,Continuous,NA
Female_OB,hba1c,median,6.8,Continuous,NA
Female_OB,hba1c,q25,5.9,Continuous,NA
Female_OB,hba1c,q75,8.2,Continuous,NA
Female_OB,hba1c,min,5,Continuous,NA
Female_OB,hba1c,max,15,Continuous,NA
Female_OB,hba1c,freq,61,Continuous,NA
Female_OB,hba1c,missing,0,Continuous,NA
Female_OB,cpeptidef,mean,1.8207868852459017,Continuous,NA
Female_OB,cpeptidef,sd,0.9612034317242474,Continuous,NA
Female_OB,cpeptidef,median,1.7,Continuous,NA
Female_OB,cpeptidef,q25,1.1,Continuous,NA
Female_OB,cpeptidef,q75,2.54,Continuous,NA
Female_OB,cpeptidef,min,0.11,Continuous,NA
Female_OB,cpeptidef,max,4.06,Continuous,NA
Female_OB,cpeptidef,freq,61,Continuous,NA
Female_OB,cpeptidef,missing,0,Continuous,NA
Female_OB,sbp,mean,105.77650273265574,Continuous,NA
Female_OB,sbp,sd,9.545377675978648,Continuous,NA
Female_OB,sbp,median,106,Continuous,NA
Female_OB,sbp,q25,98.666666667,Continuous,NA
Female_OB,sbp,q75,112.5,Continuous,NA
Female_OB,sbp,min,85.333333333,Continuous,NA
Female_OB,sbp,max,134.66666667,Continuous,NA
Female_OB,sbp,freq,61,Continuous,NA
Female_OB,sbp,missing,0,Continuous,NA
Female_OB,dbp,mean,65.84699453554427,Continuous,NA
Female_OB,dbp,sd,7.762522444799307,Continuous,NA
Female_OB,dbp,median,66,Continuous,NA
Female_OB,dbp,q25,60.666666667,Continuous,NA
Female_OB,dbp,q75,70.666666667,Continuous,NA
Female_OB,dbp,min,45.333333333,Continuous,NA
Female_OB,dbp,max,88,Continuous,NA
Female_OB,dbp,freq,61,Continuous,NA
Female_OB,dbp,missing,0,Continuous,NA
Female_OB,ldlc,mean,95.8688524590164,Continuous,NA
Female_OB,ldlc,sd,29.14302398507292,Continuous,NA
Female_OB,ldlc,median,97,Continuous,NA
Female_OB,ldlc,q25,71,Continuous,NA
Female_OB,ldlc,q75,117,Continuous,NA
Female_OB,ldlc,min,40,Continuous,NA
Female_OB,ldlc,max,171,Continuous,NA
Female_OB,ldlc,freq,61,Continuous,NA
Female_OB,ldlc,missing,0,Continuous,NA
Female_OB,hdlc,mean,52.75409836065574,Continuous,NA
Female_OB,hdlc,sd,10.075805571938021,Continuous,NA
Female_OB,hdlc,median,52,Continuous,NA
Female_OB,hdlc,q25,45,Continuous,NA
Female_OB,hdlc,q75,61,Continuous,NA
Female_OB,hdlc,min,32,Continuous,NA
Female_OB,hdlc,max,75,Continuous,NA
Female_OB,hdlc,freq,61,Continuous,NA
Female_OB,hdlc,missing,0,Continuous,NA
Female_OB,totalc,mean,166.3,Continuous,NA
Female_OB,totalc,sd,35.965755841082206,Continuous,NA
Female_OB,totalc,median,169.5,Continuous,NA
Female_OB,totalc,q25,135,Continuous,NA
Female_OB,totalc,q75,192,Continuous,NA
Female_OB,totalc,min,88,Continuous,NA
Female_OB,totalc,max,242,Continuous,NA
Female_OB,totalc,freq,60,Continuous,NA
Female_OB,totalc,missing,1,Continuous,NA
Female_OB,insulinf,mean,18.7,Continuous,NA
Female_OB,insulinf,sd,9.354054379429988,Continuous,NA
Female_OB,insulinf,median,17.5,Continuous,NA
Female_OB,insulinf,q25,12.4,Continuous,NA
Female_OB,insulinf,q75,20.3,Continuous,NA
Female_OB,insulinf,min,6.4,Continuous,NA
Female_OB,insulinf,max,36.3,Continuous,NA
Female_OB,insulinf,freq,13,Continuous,NA
Female_OB,insulinf,missing,48,Continuous,NA
Female_OB,tgl,mean,77.53846153846153,Continuous,NA
Female_OB,tgl,sd,35.2954562340428,Continuous,NA
Female_OB,tgl,median,68,Continuous,NA
Female_OB,tgl,q25,53,Continuous,NA
Female_OB,tgl,q75,88,Continuous,NA
Female_OB,tgl,min,43,Continuous,NA
Female_OB,tgl,max,159,Continuous,NA
Female_OB,tgl,freq,13,Continuous,NA
Female_OB,tgl,missing,48,Continuous,NA
Female_OB,glucosef,mean,119.92307692307692,Continuous,NA
Female_OB,glucosef,sd,28.35331120716338,Continuous,NA
Female_OB,glucosef,median,128,Continuous,NA
Female_OB,glucosef,q25,97,Continuous,NA
Female_OB,glucosef,q75,137,Continuous,NA
Female_OB,glucosef,min,76,Continuous,NA
Female_OB,glucosef,max,165,Continuous,NA
Female_OB,glucosef,freq,13,Continuous,NA
Female_OB,glucosef,missing,48,Continuous,NA
Male_ID,bmi,mean,37.55190746515702,Continuous,NA
Male_ID,bmi,sd,7.258576562572885,Continuous,NA
Male_ID,bmi,median,37.239741215,Continuous,NA
Male_ID,bmi,q25,34.149345519,Continuous,NA
Male_ID,bmi,q75,39.371201426,Continuous,NA
Male_ID,bmi,min,22.195798652,Continuous,NA
Male_ID,bmi,max,89.012019185,Continuous,NA
Male_ID,bmi,freq,121,Continuous,NA
Male_ID,bmi,missing,0,Continuous,NA
Male_ID,hba1c,mean,6.95504132231405,Continuous,NA
Male_ID,hba1c,sd,1.7905330323523505,Continuous,NA
Male_ID,hba1c,median,6.4,Continuous,NA
Male_ID,hba1c,q25,5.9,Continuous,NA
Male_ID,hba1c,q75,7.5,Continuous,NA
Male_ID,hba1c,min,4.7,Continuous,NA
Male_ID,hba1c,max,14.6,Continuous,NA
Male_ID,hba1c,freq,121,Continuous,NA
Male_ID,hba1c,missing,0,Continuous,NA
Male_ID,cpeptidef,mean,4.424528925619835,Continuous,NA
Male_ID,cpeptidef,sd,1.9568165945159508,Continuous,NA
Male_ID,cpeptidef,median,4.16,Continuous,NA
Male_ID,cpeptidef,q25,3.3,Continuous,NA
Male_ID,cpeptidef,q75,5.34,Continuous,NA
Male_ID,cpeptidef,min,0.6,Continuous,NA
Male_ID,cpeptidef,max,11.4,Continuous,NA
Male_ID,cpeptidef,freq,121,Continuous,NA
Male_ID,cpeptidef,missing,0,Continuous,NA
Male_ID,sbp,mean,124.57190082656695,Continuous,NA
Male_ID,sbp,sd,8.482278922015611,Continuous,NA
Male_ID,sbp,median,124,Continuous,NA
Male_ID,sbp,q25,119.33333333,Continuous,NA
Male_ID,sbp,q75,128.66666667,Continuous,NA
Male_ID,sbp,min,100,Continuous,NA
Male_ID,sbp,max,148.66666667,Continuous,NA
Male_ID,sbp,freq,121,Continuous,NA
Male_ID,sbp,missing,0,Continuous,NA
Male_ID,dbp,mean,75.04683195589256,Continuous,NA
Male_ID,dbp,sd,8.89226211525582,Continuous,NA
Male_ID,dbp,median,75,Continuous,NA
Male_ID,dbp,q25,69.333333333,Continuous,NA
Male_ID,dbp,q75,80,Continuous,NA
Male_ID,dbp,min,50.666666667,Continuous,NA
Male_ID,dbp,max,107.33333333,Continuous,NA
Male_ID,dbp,freq,121,Continuous,NA
Male_ID,dbp,missing,0,Continuous,NA
Male_ID,ldlc,mean,98.55371900826447,Continuous,NA
Male_ID,ldlc,sd,28.413116223915303,Continuous,NA
Male_ID,ldlc,median,96,Continuous,NA
Male_ID,ldlc,q25,78,Continuous,NA
Male_ID,ldlc,q75,114,Continuous,NA
Male_ID,ldlc,min,45,Continuous,NA
Male_ID,ldlc,max,206,Continuous,NA
Male_ID,ldlc,freq,121,Continuous,NA
Male_ID,ldlc,missing,0,Continuous,NA
Male_ID,hdlc,mean,34.839669421487606,Continuous,NA
Male_ID,hdlc,sd,7.849654762459759,Continuous,NA
Male_ID,hdlc,median,34,Continuous,NA
Male_ID,hdlc,q25,29,Continuous,NA
Male_ID,hdlc,q75,39,Continuous,NA
Male_ID,hdlc,min,15,Continuous,NA
Male_ID,hdlc,max,57,Continuous,NA
Male_ID,hdlc,freq,121,Continuous,NA
Male_ID,hdlc,missing,0,Continuous,NA
Male_ID,totalc,mean,165.8403361344538,Continuous,NA
Male_ID,totalc,sd,36.52604902686814,Continuous,NA
Male_ID,totalc,median,162,Continuous,NA
Male_ID,totalc,q25,143,Continuous,NA
Male_ID,totalc,q75,185.5,Continuous,NA
Male_ID,totalc,min,90,Continuous,NA
Male_ID,totalc,max,326,Continuous,NA
Male_ID,totalc,freq,119,Continuous,NA
Male_ID,totalc,missing,2,Continuous,NA
Male_ID,insulinf,mean,33.87291666666667,Continuous,NA
Male_ID,insulinf,sd,16.881070092925672,Continuous,NA
Male_ID,insulinf,median,31.150000000000002,Continuous,NA
Male_ID,insulinf,q25,24.7,Continuous,NA
Male_ID,insulinf,q75,39.275,Continuous,NA
Male_ID,insulinf,min,8,Continuous,NA
Male_ID,insulinf,max,100.2,Continuous,NA
Male_ID,insulinf,freq,48,Continuous,NA
Male_ID,insulinf,missing,73,Continuous,NA
Male_ID,tgl,mean,145.69387755102042,Continuous,NA
Male_ID,tgl,sd,90.52789719234633,Continuous,NA
Male_ID,tgl,median,119,Continuous,NA
Male_ID,tgl,q25,92,Continuous,NA
Male_ID,tgl,q75,186,Continuous,NA
Male_ID,tgl,min,34,Continuous,NA
Male_ID,tgl,max,541,Continuous,NA
Male_ID,tgl,freq,49,Continuous,NA
Male_ID,tgl,missing,72,Continuous,NA
Male_ID,glucosef,mean,116.24489795918367,Continuous,NA
Male_ID,glucosef,sd,29.54483218506305,Continuous,NA
Male_ID,glucosef,median,106,Continuous,NA
Male_ID,glucosef,q25,95,Continuous,NA
Male_ID,glucosef,q75,130,Continuous,NA
Male_ID,glucosef,min,74,Continuous,NA
Male_ID,glucosef,max,214,Continuous,NA
Male_ID,glucosef,freq,49,Continuous,NA
Male_ID,glucosef,missing,72,Continuous,NA
Male_IR,bmi,mean,32.651805134736364,Continuous,NA
Male_IR,bmi,sd,4.1116197890796515,Continuous,NA
Male_IR,bmi,median,32,Continuous,NA
Male_IR,bmi,q25,32,Continuous,NA
Male_IR,bmi,q75,35.4019766825,Continuous,NA
Male_IR,bmi,min,18.289894833,Continuous,NA
Male_IR,bmi,max,41.05912514,Continuous,NA
Male_IR,bmi,freq,110,Continuous,NA
Male_IR,bmi,missing,0,Continuous,NA
Male_IR,hba1c,mean,5.76,Continuous,NA
Male_IR,hba1c,sd,0.6287018808989453,Continuous,NA
Male_IR,hba1c,median,5.7,Continuous,NA
Male_IR,hba1c,q25,5.4,Continuous,NA
Male_IR,hba1c,q75,6.1,Continuous,NA
Male_IR,hba1c,min,4.6,Continuous,NA
Male_IR,hba1c,max,8.4,Continuous,NA
Male_IR,hba1c,freq,110,Continuous,NA
Male_IR,hba1c,missing,0,Continuous,NA
Male_IR,cpeptidef,mean,3.2883636363636364,Continuous,NA
Male_IR,cpeptidef,sd,1.5314729776376603,Continuous,NA
Male_IR,cpeptidef,median,2.98,Continuous,NA
Male_IR,cpeptidef,q25,2.3925,Continuous,NA
Male_IR,cpeptidef,q75,3.92,Continuous,NA
Male_IR,cpeptidef,min,0.68,Continuous,NA
Male_IR,cpeptidef,max,8.6,Continuous,NA
Male_IR,cpeptidef,freq,110,Continuous,NA
Male_IR,cpeptidef,missing,0,Continuous,NA
Male_IR,sbp,mean,110.89424242442364,Continuous,NA
Male_IR,sbp,sd,8.977105163080388,Continuous,NA
Male_IR,sbp,median,111.5,Continuous,NA
Male_IR,sbp,q25,106,Continuous,NA
Male_IR,sbp,q75,116.9166666675,Continuous,NA
Male_IR,sbp,min,86,Continuous,NA
Male_IR,sbp,max,133.5,Continuous,NA
Male_IR,sbp,freq,110,Continuous,NA
Male_IR,sbp,missing,0,Continuous,NA
Male_IR,dbp,mean,63.571515151516365,Continuous,NA
Male_IR,dbp,sd,7.1328872311311695,Continuous,NA
Male_IR,dbp,median,63.4166666665,Continuous,NA
Male_IR,dbp,q25,59.083333333249996,Continuous,NA
Male_IR,dbp,q75,68,Continuous,NA
Male_IR,dbp,min,42,Continuous,NA
Male_IR,dbp,max,81,Continuous,NA
Male_IR,dbp,freq,110,Continuous,NA
Male_IR,dbp,missing,0,Continuous,NA
Male_IR,ldlc,mean,77.98,Continuous,NA
Male_IR,ldlc,sd,22.286408414098492,Continuous,NA
Male_IR,ldlc,median,77.5,Continuous,NA
Male_IR,ldlc,q25,62.25,Continuous,NA
Male_IR,ldlc,q75,93.75,Continuous,NA
Male_IR,ldlc,min,23,Continuous,NA
Male_IR,ldlc,max,129,Continuous,NA
Male_IR,ldlc,freq,110,Continuous,NA
Male_IR,ldlc,missing,0,Continuous,NA
Male_IR,hdlc,mean,36.36,Continuous,NA
Male_IR,hdlc,sd,7.310557904888925,Continuous,NA
Male_IR,hdlc,median,35.5,Continuous,NA
Male_IR,hdlc,q25,32,Continuous,NA
Male_IR,hdlc,q75,41.599999999999994,Continuous,NA
Male_IR,hdlc,min,13,Continuous,NA
Male_IR,hdlc,max,56,Continuous,NA
Male_IR,hdlc,freq,110,Continuous,NA
Male_IR,hdlc,missing,0,Continuous,NA
Male_IR,totalc,mean,134.4678899082569,Continuous,NA
Male_IR,totalc,sd,28.355079500316148,Continuous,NA
Male_IR,totalc,median,132,Continuous,NA
Male_IR,totalc,q25,116,Continuous,NA
Male_IR,totalc,q75,147,Continuous,NA
Male_IR,totalc,min,54,Continuous,NA
Male_IR,totalc,max,245,Continuous,NA
Male_IR,totalc,freq,109,Continuous,NA
Male_IR,totalc,missing,1,Continuous,NA
Male_IR,insulinf,mean,28.637974683544304,Continuous,NA
Male_IR,insulinf,sd,30.880818475093214,Continuous,NA
Male_IR,insulinf,median,21.3,Continuous,NA
Male_IR,insulinf,q25,15.399999999999999,Continuous,NA
Male_IR,insulinf,q75,29,Continuous,NA
Male_IR,insulinf,min,4.9,Continuous,NA
Male_IR,insulinf,max,202.5,Continuous,NA
Male_IR,insulinf,freq,79,Continuous,NA
Male_IR,insulinf,missing,31,Continuous,NA
Male_IR,tgl,mean,88.27160493827161,Continuous,NA
Male_IR,tgl,sd,54.51146951460743,Continuous,NA
Male_IR,tgl,median,76,Continuous,NA
Male_IR,tgl,q25,59,Continuous,NA
Male_IR,tgl,q75,97,Continuous,NA
Male_IR,tgl,min,30,Continuous,NA
Male_IR,tgl,max,428,Continuous,NA
Male_IR,tgl,freq,81,Continuous,NA
Male_IR,tgl,missing,29,Continuous,NA
Male_IR,glucosef,mean,101.64197530864197,Continuous,NA
Male_IR,glucosef,sd,12.99837359246851,Continuous,NA
Male_IR,glucosef,median,98,Continuous,NA
Male_IR,glucosef,q25,93,Continuous,NA
Male_IR,glucosef,q75,105,Continuous,NA
Male_IR,glucosef,min,81,Continuous,NA
Male_IR,glucosef,max,142,Continuous,NA
Male_IR,glucosef,freq,81,Continuous,NA
Male_IR,glucosef,missing,29,Continuous,NA
Male_OB,bmi,mean,21.184030305530303,Continuous,NA
Male_OB,bmi,sd,4.907670790007594,Continuous,NA
Male_OB,bmi,median,20.046491568500002,Continuous,NA
Male_OB,bmi,q25,17.524415119500002,Continuous,NA
Male_OB,bmi,q75,23.216312763250002,Continuous,NA
Male_OB,bmi,min,13.695138501,Continuous,NA
Male_OB,bmi,max,36.279103416,Continuous,NA
Male_OB,bmi,freq,66,Continuous,NA
Male_OB,bmi,missing,0,Continuous,NA
Male_OB,hba1c,mean,7.506666666666667,Continuous,NA
Male_OB,hba1c,sd,1.6681314588792349,Continuous,NA
Male_OB,hba1c,median,7.35,Continuous,NA
Male_OB,hba1c,q25,6.324999999999999,Continuous,NA
Male_OB,hba1c,q75,8.2,Continuous,NA
Male_OB,hba1c,min,5,Continuous,NA
Male_OB,hba1c,max,12.9,Continuous,NA
Male_OB,hba1c,freq,66,Continuous,NA
Male_OB,hba1c,missing,0,Continuous,NA
Male_OB,cpeptidef,mean,1.1633636363636364,Continuous,NA
Male_OB,cpeptidef,sd,0.90165210136067,Continuous,NA
Male_OB,cpeptidef,median,1,Continuous,NA
Male_OB,cpeptidef,q25,0.7,Continuous,NA
Male_OB,cpeptidef,q75,1.5,Continuous,NA
Male_OB,cpeptidef,min,0.05,Continuous,NA
Male_OB,cpeptidef,max,5.36,Continuous,NA
Male_OB,cpeptidef,freq,66,Continuous,NA
Male_OB,cpeptidef,missing,0,Continuous,NA
Male_OB,sbp,mean,104.5318181820697,Continuous,NA
Male_OB,sbp,sd,9.24968640147623,Continuous,NA
Male_OB,sbp,median,105.33333333,Continuous,NA
Male_OB,sbp,q25,97.625,Continuous,NA
Male_OB,sbp,q75,110.66666667,Continuous,NA
Male_OB,sbp,min,81.333333333,Continuous,NA
Male_OB,sbp,max,122.66666667,Continuous,NA
Male_OB,sbp,freq,66,Continuous,NA
Male_OB,sbp,missing,0,Continuous,NA
Male_OB,dbp,mean,66.37121212128181,Continuous,NA
Male_OB,dbp,sd,9.46227577181188,Continuous,NA
Male_OB,dbp,median,67,Continuous,NA
Male_OB,dbp,q25,60.666666667,Continuous,NA
Male_OB,dbp,q75,72.99999999975,Continuous,NA
Male_OB,dbp,min,40,Continuous,NA
Male_OB,dbp,max,83.333333333,Continuous,NA
Male_OB,dbp,freq,66,Continuous,NA
Male_OB,dbp,missing,0,Continuous,NA
Male_OB,ldlc,mean,90.9969696969697,Continuous,NA
Male_OB,ldlc,sd,24.946477905843942,Continuous,NA
Male_OB,ldlc,median,88,Continuous,NA
Male_OB,ldlc,q25,72.25,Continuous,NA
Male_OB,ldlc,q75,102.25,Continuous,NA
