study,variable,est,value,type,group
TODAY,bmi,min,32,Continuous,NA
TODAY,bmi,max,38,Continuous,NA
TODAY,bmi,freq,337,Continuous,NA
TODAY,bmi,missing,0,Continuous,NA
TODAY,hba1c,mean,5.912759643916914,Continuous,NA
TODAY,hba1c,sd,0.6808938748753215,Continuous,NA
TODAY,hba1c,median,5.9,Continuous,NA
TODAY,hba1c,q25,5.4,Continuous,NA
TODAY,hba1c,q75,6.3,Continuous,NA
TODAY,hba1c,min,4.3,Continuous,NA
TODAY,hba1c,max,7.9,Continuous,NA
TODAY,hba1c,freq,337,Continuous,NA
TODAY,hba1c,missing,0,Continuous,NA
TODAY,cpeptidef,mean,3.798925816023739,Continuous,NA
TODAY,cpeptidef,sd,1.556247179329439,Continuous,NA
TODAY,cpeptidef,median,3.55,Continuous,NA
TODAY,cpeptidef,q25,2.7,Continuous,NA
TODAY,cpeptidef,q75,4.64,Continuous,NA
TODAY,cpeptidef,min,1.04,Continuous,NA
TODAY,cpeptidef,max,8.92,Continuous,NA
TODAY,cpeptidef,freq,337,Continuous,NA
TODAY,cpeptidef,missing,0,Continuous,NA
TODAY,sbp,mean,113.03857566765579,Continuous,NA
TODAY,sbp,sd,10.662364066615295,Continuous,NA
TODAY,sbp,median,113,Continuous,NA
TODAY,sbp,q25,106,Continuous,NA
TODAY,sbp,q75,120,Continuous,NA
TODAY,sbp,min,86,Continuous,NA
TODAY,sbp,max,156.5,Continuous,NA
TODAY,sbp,freq,337,Continuous,NA
TODAY,sbp,missing,0,Continuous,NA
TODAY,dbp,mean,66.68100890207715,Continuous,NA
TODAY,dbp,sd,8.620117399379616,Continuous,NA
TODAY,dbp,median,66.5,Continuous,NA
TODAY,dbp,q25,61,Continuous,NA
TODAY,dbp,q75,72,Continuous,NA
TODAY,dbp,min,42,Continuous,NA
TODAY,dbp,max,96,Continuous,NA
TODAY,dbp,freq,337,Continuous,NA
TODAY,dbp,missing,0,Continuous,NA
TODAY,ldlc,mean,83.41127596439169,Continuous,NA
TODAY,ldlc,sd,23.894694392129395,Continuous,NA
TODAY,ldlc,median,82,Continuous,NA
TODAY,ldlc,q25,68,Continuous,NA
TODAY,ldlc,q75,100,Continuous,NA
TODAY,ldlc,min,23,Continuous,NA
TODAY,ldlc,max,156,Continuous,NA
TODAY,ldlc,freq,337,Continuous,NA
TODAY,ldlc,missing,0,Continuous,NA
TODAY,hdlc,mean,38.87774480712166,Continuous,NA
TODAY,hdlc,sd,8.99953753541533,Continuous,NA
TODAY,hdlc,median,37,Continuous,NA
TODAY,hdlc,q25,33,Continuous,NA
TODAY,hdlc,q75,44,Continuous,NA
TODAY,hdlc,min,17,Continuous,NA
TODAY,hdlc,max,75,Continuous,NA
TODAY,hdlc,freq,337,Continuous,NA
TODAY,hdlc,missing,0,Continuous,NA
TODAY,totalc,mean,143.42433234421364,Continuous,NA
TODAY,totalc,sd,28.643660505028226,Continuous,NA
TODAY,totalc,median,142,Continuous,NA
TODAY,totalc,q25,124,Continuous,NA
TODAY,totalc,q75,160,Continuous,NA
TODAY,totalc,min,54,Continuous,NA
TODAY,totalc,max,242,Continuous,NA
TODAY,totalc,freq,337,Continuous,NA
TODAY,totalc,missing,0,Continuous,NA
TODAY,insulinf,mean,30.14084084084084,Continuous,NA
TODAY,insulinf,sd,22.16447856671189,Continuous,NA
TODAY,insulinf,median,25.3,Continuous,NA
TODAY,insulinf,q25,17.2,Continuous,NA
TODAY,insulinf,q75,36.6,Continuous,NA
TODAY,insulinf,min,2.2,Continuous,NA
TODAY,insulinf,max,202.5,Continuous,NA
TODAY,insulinf,freq,333,Continuous,NA
TODAY,insulinf,missing,4,Continuous,NA
TODAY,tgl,mean,107.70326409495549,Continuous,NA
TODAY,tgl,sd,67.06185680491927,Continuous,NA
TODAY,tgl,median,89,Continuous,NA
TODAY,tgl,q25,64,Continuous,NA
TODAY,tgl,q75,130,Continuous,NA
TODAY,tgl,min,27,Continuous,NA
TODAY,tgl,max,541,Continuous,NA
TODAY,tgl,freq,337,Continuous,NA
TODAY,tgl,missing,0,Continuous,NA
TODAY,glucosef,mean,106.45994065281899,Continuous,NA
TODAY,glucosef,sd,21.345911647059875,Continuous,NA
TODAY,glucosef,median,101,Continuous,NA
TODAY,glucosef,q25,92,Continuous,NA
TODAY,glucosef,q75,116,Continuous,NA
TODAY,glucosef,min,70,Continuous,NA
TODAY,glucosef,max,214,Continuous,NA
TODAY,glucosef,freq,337,Continuous,NA
TODAY,glucosef,missing,0,Continuous,NA
Total,bmi,mean,32.82433814054016,Continuous,NA
Total,bmi,sd,7.764659028842167,Continuous,NA
Total,bmi,median,32.4326375,Continuous,NA
Total,bmi,q25,30.174765473500003,Continuous,NA
Total,bmi,q75,37.950775,Continuous,NA
Total,bmi,min,13.695138501,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,722,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.569556786703601,Continuous,NA
Total,hba1c,sd,1.559746440047986,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.6,Continuous,NA
Total,hba1c,q75,7.1,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,722,Continuous,NA
Total,hba1c,missing,0,Continuous,NA
Total,cpeptidef,mean,3.5005540166204985,Continuous,NA
Total,cpeptidef,sd,1.9540231134428083,Continuous,NA
Total,cpeptidef,median,3.29,Continuous,NA
Total,cpeptidef,q25,2.0725,Continuous,NA
Total,cpeptidef,q75,4.6,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,722,Continuous,NA
Total,cpeptidef,missing,0,Continuous,NA
Total,sbp,mean,113.29787626973241,Continuous,NA
Total,sbp,sd,11.791649350548344,Continuous,NA
Total,sbp,median,112.66666667,Continuous,NA
Total,sbp,q25,105.5,Continuous,NA
Total,sbp,q75,120.66666667,Continuous,NA
Total,sbp,min,81.333333333,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,722,Continuous,NA
Total,sbp,missing,0,Continuous,NA
Total,dbp,mean,68.6243305632482,Continuous,NA
Total,dbp,sd,9.657194358975897,Continuous,NA
Total,dbp,median,68.5,Continuous,NA
Total,dbp,q25,61.625,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,40,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,722,Continuous,NA
Total,dbp,missing,0,Continuous,NA
Total,ldlc,mean,89.71468144044321,Continuous,NA
Total,ldlc,sd,27.20268059057932,Continuous,NA
Total,ldlc,median,87,Continuous,NA
Total,ldlc,q25,71,Continuous,NA
Total,ldlc,q75,106,Continuous,NA
Total,ldlc,min,23,Continuous,NA
Total,ldlc,max,231,Continuous,NA
Total,ldlc,freq,722,Continuous,NA
Total,ldlc,missing,0,Continuous,NA
Total,hdlc,mean,40.69030470914127,Continuous,NA
Total,hdlc,sd,10.431704590141697,Continuous,NA
Total,hdlc,median,39,Continuous,NA
Total,hdlc,q25,33,Continuous,NA
Total,hdlc,q75,46,Continuous,NA
Total,hdlc,min,13,Continuous,NA
Total,hdlc,max,81,Continuous,NA
Total,hdlc,freq,722,Continuous,NA
Total,hdlc,missing,0,Continuous,NA
Total,totalc,mean,153.9943181818182,Continuous,NA
Total,totalc,sd,35.00526230045494,Continuous,NA
Total,totalc,median,150.5,Continuous,NA
Total,totalc,q25,130,Continuous,NA
Total,totalc,q75,174,Continuous,NA
Total,totalc,min,54,Continuous,NA
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,704,Continuous,NA
Total,totalc,missing,18,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,389,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,385,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,385,Continuous,NA
SEARCH,female,proportion,53.246753246753244,Proportion,NA
SEARCH,female,freq,385,Proportion,NA
SEARCH,female,missing,0,Proportion,NA
SEARCH,insulin,proportion,59.16230366492147,Proportion,NA
SEARCH,insulin,freq,382,Proportion,NA
SEARCH,insulin,missing,3,Proportion,NA
SEARCH,metformin,proportion,52.09424083769634,Proportion,NA
SEARCH,metformin,freq,382,Proportion,NA
SEARCH,metformin,missing,3,Proportion,NA
SEARCH,dmfamilyhistory,proportion,48.311688311688314,Proportion,NA
SEARCH,dmfamilyhistory,freq,385,Proportion,NA
SEARCH,dmfamilyhistory,missing,0,Proportion,NA
TODAY,female,proportion,60.23738872403561,Proportion,NA
TODAY,female,freq,337,Proportion,NA
TODAY,female,missing,0,Proportion,NA
TODAY,insulin,proportion,0,Proportion,NA
TODAY,insulin,freq,337,Proportion,NA
TODAY,insulin,missing,0,Proportion,NA
TODAY,metformin,proportion,100,Proportion,NA
TODAY,metformin,freq,337,Proportion,NA
TODAY,metformin,missing,0,Proportion,NA
TODAY,dmfamilyhistory,proportion,89.02077151335311,Proportion,NA
TODAY,dmfamilyhistory,freq,337,Proportion,NA
TODAY,dmfamilyhistory,missing,0,Proportion,NA
Total,female,proportion,56.50969529085873,Proportion,NA
Total,female,freq,722,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,31.432545201668983,Proportion,NA
Total,insulin,freq,719,Proportion,NA
Total,insulin,missing,3,Proportion,NA
Total,metformin,proportion,74.54798331015299,Proportion,NA
Total,metformin,freq,719,Proportion,NA
Total,metformin,missing,3,Proportion,NA
Total,dmfamilyhistory,proportion,67.31301939058172,Proportion,NA
Total,dmfamilyhistory,freq,722,Proportion,NA
Total,dmfamilyhistory,missing,0,Proportion,NA
SEARCH,cluster,proportion,28.051948051948052,Grouped,yMOD
SEARCH,cluster,freq,108,Grouped,yMOD
SEARCH,cluster,proportion,34.02597402597402,Grouped,ySIDD
SEARCH,cluster,freq,131,Grouped,ySIDD
SEARCH,cluster,proportion,37.922077922077925,Grouped,ySIRD
SEARCH,cluster,freq,146,Grouped,ySIRD
TODAY,cluster,proportion,68.24925816023739,Grouped,yMOD
TODAY,cluster,freq,230,Grouped,yMOD
TODAY,cluster,proportion,27.596439169139465,Grouped,ySIDD
TODAY,cluster,freq,93,Grouped,ySIDD
TODAY,cluster,proportion,4.154302670623146,Grouped,ySIRD
TODAY,cluster,freq,14,Grouped,ySIRD
Total,cluster,proportion,46.81440443213297,Grouped,yMOD
Total,cluster,freq,338,Grouped,yMOD
Total,cluster,proportion,31.024930747922436,Grouped,ySIDD
Total,cluster,freq,224,Grouped,ySIDD
Total,cluster,proportion,22.1606648199446,Grouped,ySIRD
Total,cluster,freq,160,Grouped,ySIRD
NA,study,proportion,100,Grouped,SEARCH
NA,study,freq,385,Grouped,SEARCH
NA,study,proportion,100,Grouped,TODAY
NA,study,freq,337,Grouped,TODAY
NA,study,proportion,100,Grouped,Total
NA,study,freq,722,Grouped,Total
SEARCH,dmduration_category,proportion,100,Grouped,<=5 months
SEARCH,dmduration_category,freq,385,Grouped,<=5 months
TODAY,dmduration_category,proportion,100,Grouped,<=5 months
TODAY,dmduration_category,freq,337,Grouped,<=5 months
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,722,Grouped,<=5 months
SEARCH,age_category,proportion,14.025974025974026,Grouped,14-15
SEARCH,age_category,freq,54,Grouped,14-15
SEARCH,age_category,proportion,40.77922077922078,Grouped,<=13
SEARCH,age_category,freq,157,Grouped,<=13
SEARCH,age_category,proportion,45.1948051948052,Grouped,>15
SEARCH,age_category,freq,174,Grouped,>15
TODAY,age_category,proportion,30.56379821958457,Grouped,14-15
TODAY,age_category,freq,103,Grouped,14-15
TODAY,age_category,proportion,40.652818991097924,Grouped,<=13
TODAY,age_category,freq,137,Grouped,<=13
TODAY,age_category,proportion,28.783382789317507,Grouped,>15
TODAY,age_category,freq,97,Grouped,>15
Total,age_category,proportion,21.74515235457064,Grouped,14-15
Total,age_category,freq,157,Grouped,14-15
Total,age_category,proportion,40.7202216066482,Grouped,<=13
Total,age_category,freq,294,Grouped,<=13
Total,age_category,proportion,37.53462603878116,Grouped,>15
Total,age_category,freq,271,Grouped,>15
SEARCH,race_eth,proportion,20.77922077922078,Grouped,Hispanic
SEARCH,race_eth,freq,80,Grouped,Hispanic
SEARCH,race_eth,proportion,32.20779220779221,Grouped,NH Black
SEARCH,race_eth,freq,124,Grouped,NH Black
SEARCH,race_eth,proportion,7.532467532467533,Grouped,NH Other
SEARCH,race_eth,freq,29,Grouped,NH Other
SEARCH,race_eth,proportion,39.48051948051948,Grouped,NH White
SEARCH,race_eth,freq,152,Grouped,NH White
TODAY,race_eth,proportion,41.839762611275965,Grouped,Hispanic
TODAY,race_eth,freq,141,Grouped,Hispanic
TODAY,race_eth,proportion,27.596439169139465,Grouped,NH Black
TODAY,race_eth,freq,93,Grouped,NH Black
TODAY,race_eth,proportion,8.6053412462908,Grouped,NH Other
TODAY,race_eth,freq,29,Grouped,NH Other
TODAY,race_eth,proportion,21.958456973293767,Grouped,NH White
TODAY,race_eth,freq,74,Grouped,NH White
Total,race_eth,proportion,30.609418282548475,Grouped,Hispanic
Total,race_eth,freq,221,Grouped,Hispanic
Total,race_eth,proportion,30.05540166204986,Grouped,NH Black
Total,race_eth,freq,217,Grouped,NH Black
Total,race_eth,proportion,8.033240997229917,Grouped,NH Other
Total,race_eth,freq,58,Grouped,NH Other
Total,race_eth,proportion,31.301939058171744,Grouped,NH White
Total,race_eth,freq,226,Grouped,NH White
SEARCH,bmipct,proportion,56.103896103896105,Grouped,<98.5
SEARCH,bmipct,freq,216,Grouped,<98.5
SEARCH,bmipct,proportion,43.896103896103895,Grouped,>=98.5
SEARCH,bmipct,freq,169,Grouped,>=98.5
TODAY,bmipct,proportion,42.433234421364986,Grouped,<98.5
TODAY,bmipct,freq,143,Grouped,<98.5
TODAY,bmipct,proportion,57.566765578635014,Grouped,>=98.5
TODAY,bmipct,freq,194,Grouped,>=98.5
Total,bmipct,proportion,49.72299168975069,Grouped,<98.5
Total,bmipct,freq,359,Grouped,<98.5
Total,bmipct,proportion,50.27700831024931,Grouped,>=98.5
Total,bmipct,freq,363,Grouped,>=98.5
