cluster,variable,est,value,type,group
yIRD,cpeptidef,min,0.48,Continuous,NA
yIRD,cpeptidef,max,11.4,Continuous,NA
yIRD,cpeptidef,freq,201,Continuous,NA
yIRD,cpeptidef,missing,0,Continuous,NA
yIRD,sbp,mean,123.52736318424378,Continuous,NA
yIRD,sbp,sd,10.094577629288267,Continuous,NA
yIRD,sbp,median,123,Continuous,NA
yIRD,sbp,q25,116.66666667,Continuous,NA
yIRD,sbp,q75,128.5,Continuous,NA
yIRD,sbp,min,97.333333333,Continuous,NA
yIRD,sbp,max,156.5,Continuous,NA
yIRD,sbp,freq,201,Continuous,NA
yIRD,sbp,missing,0,Continuous,NA
yIRD,dbp,mean,75.6666666666219,Continuous,NA
yIRD,dbp,sd,9.539668640788957,Continuous,NA
yIRD,dbp,median,75.333333333,Continuous,NA
yIRD,dbp,q25,69.333333333,Continuous,NA
yIRD,dbp,q75,81.5,Continuous,NA
yIRD,dbp,min,50.666666667,Continuous,NA
yIRD,dbp,max,107.33333333,Continuous,NA
yIRD,dbp,freq,201,Continuous,NA
yIRD,dbp,missing,0,Continuous,NA
yIRD,ldlc,mean,97.55223880597015,Continuous,NA
yIRD,ldlc,sd,28.156535785900342,Continuous,NA
yIRD,ldlc,median,95,Continuous,NA
yIRD,ldlc,q25,78,Continuous,NA
yIRD,ldlc,q75,113,Continuous,NA
yIRD,ldlc,min,23,Continuous,NA
yIRD,ldlc,max,231,Continuous,NA
yIRD,ldlc,freq,201,Continuous,NA
yIRD,ldlc,missing,0,Continuous,NA
yIRD,hdlc,mean,36.59701492537314,Continuous,NA
yIRD,hdlc,sd,8.069039040974838,Continuous,NA
yIRD,hdlc,median,36,Continuous,NA
yIRD,hdlc,q25,32,Continuous,NA
yIRD,hdlc,q75,41,Continuous,NA
yIRD,hdlc,min,15,Continuous,NA
yIRD,hdlc,max,66,Continuous,NA
yIRD,hdlc,freq,201,Continuous,NA
yIRD,hdlc,missing,0,Continuous,NA
yIRD,totalc,mean,165.34358974358975,Continuous,NA
yIRD,totalc,sd,37.08238108653916,Continuous,NA
yIRD,totalc,median,161,Continuous,NA
yIRD,totalc,q25,141.5,Continuous,NA
yIRD,totalc,q75,185,Continuous,NA
yIRD,totalc,min,54,Continuous,NA
yIRD,totalc,max,330,Continuous,NA
yIRD,totalc,freq,195,Continuous,NA
yIRD,totalc,missing,6,Continuous,NA
yIRD,insulinf,mean,45.797560975609755,Continuous,NA
yIRD,insulinf,sd,27.609212881808606,Continuous,NA
yIRD,insulinf,median,40.25,Continuous,NA
yIRD,insulinf,q25,30.1,Continuous,NA
yIRD,insulinf,q75,55.35,Continuous,NA
yIRD,insulinf,min,6,Continuous,NA
yIRD,insulinf,max,202.5,Continuous,NA
yIRD,insulinf,freq,82,Continuous,NA
yIRD,insulinf,missing,119,Continuous,NA
yIRD,tgl,mean,140.14634146341464,Continuous,NA
yIRD,tgl,sd,86.99100591386821,Continuous,NA
yIRD,tgl,median,120,Continuous,NA
yIRD,tgl,q25,81.25,Continuous,NA
yIRD,tgl,q75,177.75,Continuous,NA
yIRD,tgl,min,34,Continuous,NA
yIRD,tgl,max,541,Continuous,NA
yIRD,tgl,freq,82,Continuous,NA
yIRD,tgl,missing,119,Continuous,NA
yIRD,glucosef,mean,114.79268292682927,Continuous,NA
yIRD,glucosef,sd,22.599430673959738,Continuous,NA
yIRD,glucosef,median,108.5,Continuous,NA
yIRD,glucosef,q25,98,Continuous,NA
yIRD,glucosef,q75,132.5,Continuous,NA
yIRD,glucosef,min,70,Continuous,NA
yIRD,glucosef,max,179,Continuous,NA
yIRD,glucosef,freq,82,Continuous,NA
yIRD,glucosef,missing,119,Continuous,NA
yOD,bmi,mean,33.305793668130434,Continuous,NA
yOD,bmi,sd,3.8045515789458397,Continuous,NA
yOD,bmi,median,32.2084,Continuous,NA
yOD,bmi,q25,32,Continuous,NA
yOD,bmi,q75,36.060482582999995,Continuous,NA
yOD,bmi,min,19.677066294,Continuous,NA
yOD,bmi,max,49.893605236,Continuous,NA
yOD,bmi,freq,299,Continuous,NA
yOD,bmi,missing,0,Continuous,NA
yOD,hba1c,mean,5.868227424749164,Continuous,NA
yOD,hba1c,sd,0.799513611653056,Continuous,NA
yOD,hba1c,median,5.7,Continuous,NA
yOD,hba1c,q25,5.4,Continuous,NA
yOD,hba1c,q75,6.2,Continuous,NA
yOD,hba1c,min,4.3,Continuous,NA
yOD,hba1c,max,10.9,Continuous,NA
yOD,hba1c,freq,299,Continuous,NA
yOD,hba1c,missing,0,Continuous,NA
yOD,cpeptidef,mean,3.4497391304347826,Continuous,NA
yOD,cpeptidef,sd,1.3972450838475525,Continuous,NA
yOD,cpeptidef,median,3.29,Continuous,NA
yOD,cpeptidef,q25,2.59,Continuous,NA
yOD,cpeptidef,q75,4.085,Continuous,NA
yOD,cpeptidef,min,0.5,Continuous,NA
yOD,cpeptidef,max,8.19,Continuous,NA
yOD,cpeptidef,freq,299,Continuous,NA
yOD,cpeptidef,missing,0,Continuous,NA
yOD,sbp,mean,109.04882943151638,Continuous,NA
yOD,sbp,sd,9.316113145436706,Continuous,NA
yOD,sbp,median,109,Continuous,NA
yOD,sbp,q25,103,Continuous,NA
yOD,sbp,q75,114.5,Continuous,NA
yOD,sbp,min,84.666666667,Continuous,NA
yOD,sbp,max,136.66666667,Continuous,NA
yOD,sbp,freq,299,Continuous,NA
yOD,sbp,missing,0,Continuous,NA
yOD,dbp,mean,64.16577480490568,Continuous,NA
yOD,dbp,sd,7.4865426833600965,Continuous,NA
yOD,dbp,median,64,Continuous,NA
yOD,dbp,q25,59.5,Continuous,NA
yOD,dbp,q75,69.5,Continuous,NA
yOD,dbp,min,42,Continuous,NA
yOD,dbp,max,88,Continuous,NA
yOD,dbp,freq,299,Continuous,NA
yOD,dbp,missing,0,Continuous,NA
yOD,ldlc,mean,79.21939799331103,Continuous,NA
yOD,ldlc,sd,21.250169165662133,Continuous,NA
yOD,ldlc,median,78,Continuous,NA
yOD,ldlc,q25,63.5,Continuous,NA
yOD,ldlc,q75,93,Continuous,NA
yOD,ldlc,min,27,Continuous,NA
yOD,ldlc,max,144,Continuous,NA
yOD,ldlc,freq,299,Continuous,NA
yOD,ldlc,missing,0,Continuous,NA
yOD,hdlc,mean,36.79866220735786,Continuous,NA
yOD,hdlc,sd,6.898672050232144,Continuous,NA
yOD,hdlc,median,36,Continuous,NA
yOD,hdlc,q25,32,Continuous,NA
yOD,hdlc,q75,41,Continuous,NA
yOD,hdlc,min,16,Continuous,NA
yOD,hdlc,max,59,Continuous,NA
yOD,hdlc,freq,299,Continuous,NA
yOD,hdlc,missing,0,Continuous,NA
yOD,totalc,mean,138.36454849498327,Continuous,NA
yOD,totalc,sd,26.624865012989055,Continuous,NA
yOD,totalc,median,137,Continuous,NA
yOD,totalc,q25,120,Continuous,NA
yOD,totalc,q75,154,Continuous,NA
yOD,totalc,min,77,Continuous,NA
yOD,totalc,max,242,Continuous,NA
yOD,totalc,freq,299,Continuous,NA
yOD,totalc,missing,0,Continuous,NA
yOD,insulinf,mean,25.77294685990338,Continuous,NA
yOD,insulinf,sd,18.262685244558714,Continuous,NA
yOD,insulinf,median,21.7,Continuous,NA
yOD,insulinf,q25,15.1,Continuous,NA
yOD,insulinf,q75,32.1,Continuous,NA
yOD,insulinf,min,2.2,Continuous,NA
yOD,insulinf,max,169.2,Continuous,NA
yOD,insulinf,freq,207,Continuous,NA
yOD,insulinf,missing,92,Continuous,NA
yOD,tgl,mean,99.5,Continuous,NA
yOD,tgl,sd,57.757474298315486,Continuous,NA
yOD,tgl,median,85.5,Continuous,NA
yOD,tgl,q25,63,Continuous,NA
yOD,tgl,q75,116,Continuous,NA
yOD,tgl,min,27,Continuous,NA
yOD,tgl,max,428,Continuous,NA
yOD,tgl,freq,210,Continuous,NA
yOD,tgl,missing,89,Continuous,NA
yOD,glucosef,mean,101.6,Continuous,NA
yOD,glucosef,sd,18.241652741373027,Continuous,NA
yOD,glucosef,median,97,Continuous,NA
yOD,glucosef,q25,91,Continuous,NA
yOD,glucosef,q75,108.75,Continuous,NA
yOD,glucosef,min,70,Continuous,NA
yOD,glucosef,max,214,Continuous,NA
yOD,glucosef,freq,210,Continuous,NA
yOD,glucosef,missing,89,Continuous,NA
Total,female,proportion,58.75,Proportion,NA
Total,female,freq,640,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,21.003134796238246,Proportion,NA
Total,insulin,freq,638,Proportion,NA
Total,insulin,missing,2,Proportion,NA
Total,metformin,proportion,85.42319749216301,Proportion,NA
Total,metformin,freq,638,Proportion,NA
Total,metformin,missing,2,Proportion,NA
Total,dmfamilyhistory,proportion,71.71875,Proportion,NA
Total,dmfamilyhistory,freq,640,Proportion,NA
Total,dmfamilyhistory,missing,0,Proportion,NA
yIDD,female,proportion,62.142857142857146,Proportion,NA
yIDD,female,freq,140,Proportion,NA
yIDD,female,missing,0,Proportion,NA
yIDD,insulin,proportion,40,Proportion,NA
yIDD,insulin,freq,140,Proportion,NA
yIDD,insulin,missing,0,Proportion,NA
yIDD,metformin,proportion,73.57142857142858,Proportion,NA
yIDD,metformin,freq,140,Proportion,NA
yIDD,metformin,missing,0,Proportion,NA
yIDD,dmfamilyhistory,proportion,65.71428571428571,Proportion,NA
yIDD,dmfamilyhistory,freq,140,Proportion,NA
yIDD,dmfamilyhistory,missing,0,Proportion,NA
yIRD,female,proportion,53.73134328358209,Proportion,NA
yIRD,female,freq,201,Proportion,NA
yIRD,female,missing,0,Proportion,NA
yIRD,insulin,proportion,23,Proportion,NA
yIRD,insulin,freq,200,Proportion,NA
yIRD,insulin,missing,1,Proportion,NA
yIRD,metformin,proportion,85.5,Proportion,NA
yIRD,metformin,freq,200,Proportion,NA
yIRD,metformin,missing,1,Proportion,NA
yIRD,dmfamilyhistory,proportion,66.66666666666666,Proportion,NA
yIRD,dmfamilyhistory,freq,201,Proportion,NA
yIRD,dmfamilyhistory,missing,0,Proportion,NA
yOD,female,proportion,60.535117056856194,Proportion,NA
yOD,female,freq,299,Proportion,NA
yOD,female,missing,0,Proportion,NA
yOD,insulin,proportion,10.738255033557047,Proportion,NA
yOD,insulin,freq,298,Proportion,NA
yOD,insulin,missing,1,Proportion,NA
yOD,metformin,proportion,90.93959731543623,Proportion,NA
yOD,metformin,freq,298,Proportion,NA
yOD,metformin,missing,1,Proportion,NA
yOD,dmfamilyhistory,proportion,77.92642140468227,Proportion,NA
yOD,dmfamilyhistory,freq,299,Proportion,NA
yOD,dmfamilyhistory,missing,0,Proportion,NA
NA,cluster,proportion,100,Grouped,Total
NA,cluster,freq,640,Grouped,Total
NA,cluster,proportion,100,Grouped,yIDD
NA,cluster,freq,140,Grouped,yIDD
NA,cluster,proportion,100,Grouped,yIRD
NA,cluster,freq,201,Grouped,yIRD
NA,cluster,proportion,100,Grouped,yOD
NA,cluster,freq,299,Grouped,yOD
Total,study,proportion,47.34375,Grouped,SEARCH
Total,study,freq,303,Grouped,SEARCH
Total,study,proportion,52.65625,Grouped,TODAY
Total,study,freq,337,Grouped,TODAY
yIDD,study,proportion,67.85714285714286,Grouped,SEARCH
yIDD,study,freq,95,Grouped,SEARCH
yIDD,study,proportion,32.142857142857146,Grouped,TODAY
yIDD,study,freq,45,Grouped,TODAY
yIRD,study,proportion,59.20398009950249,Grouped,SEARCH
yIRD,study,freq,119,Grouped,SEARCH
yIRD,study,proportion,40.79601990049751,Grouped,TODAY
yIRD,study,freq,82,Grouped,TODAY
yOD,study,proportion,29.765886287625417,Grouped,SEARCH
yOD,study,freq,89,Grouped,SEARCH
yOD,study,proportion,70.23411371237458,Grouped,TODAY
yOD,study,freq,210,Grouped,TODAY
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,640,Grouped,<=5 months
yIDD,dmduration_category,proportion,100,Grouped,<=5 months
yIDD,dmduration_category,freq,140,Grouped,<=5 months
yIRD,dmduration_category,proportion,100,Grouped,<=5 months
yIRD,dmduration_category,freq,201,Grouped,<=5 months
yOD,dmduration_category,proportion,100,Grouped,<=5 months
yOD,dmduration_category,freq,299,Grouped,<=5 months
Total,age_category,proportion,21.71875,Grouped,14-15
Total,age_category,freq,139,Grouped,14-15
Total,age_category,proportion,37.96875,Grouped,<=13
Total,age_category,freq,243,Grouped,<=13
Total,age_category,proportion,40.3125,Grouped,>15
Total,age_category,freq,258,Grouped,>15
yIDD,age_category,proportion,22.857142857142858,Grouped,14-15
yIDD,age_category,freq,32,Grouped,14-15
yIDD,age_category,proportion,37.857142857142854,Grouped,<=13
yIDD,age_category,freq,53,Grouped,<=13
yIDD,age_category,proportion,39.285714285714285,Grouped,>15
yIDD,age_category,freq,55,Grouped,>15
yIRD,age_category,proportion,20.398009950248756,Grouped,14-15
yIRD,age_category,freq,41,Grouped,14-15
yIRD,age_category,proportion,36.318407960199,Grouped,<=13
yIRD,age_category,freq,73,Grouped,<=13
yIRD,age_category,proportion,43.28358208955224,Grouped,>15
yIRD,age_category,freq,87,Grouped,>15
yOD,age_category,proportion,22.073578595317727,Grouped,14-15
yOD,age_category,freq,66,Grouped,14-15
yOD,age_category,proportion,39.130434782608695,Grouped,<=13
yOD,age_category,freq,117,Grouped,<=13
yOD,age_category,proportion,38.79598662207358,Grouped,>15
yOD,age_category,freq,116,Grouped,>15
Total,race_eth,proportion,33.59375,Grouped,Hispanic
Total,race_eth,freq,215,Grouped,Hispanic
Total,race_eth,proportion,32.65625,Grouped,NH Black
Total,race_eth,freq,209,Grouped,NH Black
Total,race_eth,proportion,9.0625,Grouped,NH Other
Total,race_eth,freq,58,Grouped,NH Other
Total,race_eth,proportion,24.6875,Grouped,NH White
Total,race_eth,freq,158,Grouped,NH White
yIDD,race_eth,proportion,32.857142857142854,Grouped,Hispanic
yIDD,race_eth,freq,46,Grouped,Hispanic
yIDD,race_eth,proportion,40,Grouped,NH Black
yIDD,race_eth,freq,56,Grouped,NH Black
yIDD,race_eth,proportion,7.142857142857143,Grouped,NH Other
yIDD,race_eth,freq,10,Grouped,NH Other
yIDD,race_eth,proportion,20,Grouped,NH White
yIDD,race_eth,freq,28,Grouped,NH White
yIRD,race_eth,proportion,26.3681592039801,Grouped,Hispanic
yIRD,race_eth,freq,53,Grouped,Hispanic
yIRD,race_eth,proportion,38.308457711442784,Grouped,NH Black
yIRD,race_eth,freq,77,Grouped,NH Black
yIRD,race_eth,proportion,9.950248756218905,Grouped,NH Other
yIRD,race_eth,freq,20,Grouped,NH Other
yIRD,race_eth,proportion,25.37313432835821,Grouped,NH White
yIRD,race_eth,freq,51,Grouped,NH White
yOD,race_eth,proportion,38.79598662207358,Grouped,Hispanic
yOD,race_eth,freq,116,Grouped,Hispanic
yOD,race_eth,proportion,25.418060200668897,Grouped,NH Black
yOD,race_eth,freq,76,Grouped,NH Black
yOD,race_eth,proportion,9.364548494983278,Grouped,NH Other
yOD,race_eth,freq,28,Grouped,NH Other
yOD,race_eth,proportion,26.421404682274247,Grouped,NH White
yOD,race_eth,freq,79,Grouped,NH White
Total,bmipct,proportion,42.1875,Grouped,<98.5
Total,bmipct,freq,270,Grouped,<98.5
Total,bmipct,proportion,57.8125,Grouped,>=98.5
Total,bmipct,freq,370,Grouped,>=98.5
yIDD,bmipct,proportion,70.71428571428571,Grouped,<98.5
yIDD,bmipct,freq,99,Grouped,<98.5
yIDD,bmipct,proportion,29.285714285714285,Grouped,>=98.5
yIDD,bmipct,freq,41,Grouped,>=98.5
yIRD,bmipct,proportion,11.442786069651742,Grouped,<98.5
yIRD,bmipct,freq,23,Grouped,<98.5
yIRD,bmipct,proportion,88.55721393034825,Grouped,>=98.5
yIRD,bmipct,freq,178,Grouped,>=98.5
yOD,bmipct,proportion,49.49832775919732,Grouped,<98.5
yOD,bmipct,freq,148,Grouped,<98.5
yOD,bmipct,proportion,50.50167224080268,Grouped,>=98.5
yOD,bmipct,freq,151,Grouped,>=98.5
