cluster,variable,est,value,type,group
Total,totalc,min,54,Continuous,NA
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,623,Continuous,NA
Total,totalc,missing,18,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,308,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,304,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,304,Continuous,NA
yMOD,bmi,mean,33.52265521514791,Continuous,NA
yMOD,bmi,sd,3.7202086643596095,Continuous,NA
yMOD,bmi,median,32.3242,Continuous,NA
yMOD,bmi,q25,32,Continuous,NA
yMOD,bmi,q75,36.1129300995,Continuous,NA
yMOD,bmi,min,19.921658535,Continuous,NA
yMOD,bmi,max,49.893605236,Continuous,NA
yMOD,bmi,freq,311,Continuous,NA
yMOD,bmi,missing,0,Continuous,NA
yMOD,hba1c,mean,5.863665594855306,Continuous,NA
yMOD,hba1c,sd,0.7669786160577666,Continuous,NA
yMOD,hba1c,median,5.7,Continuous,NA
yMOD,hba1c,q25,5.4,Continuous,NA
yMOD,hba1c,q75,6.2,Continuous,NA
yMOD,hba1c,min,4.3,Continuous,NA
yMOD,hba1c,max,10.9,Continuous,NA
yMOD,hba1c,freq,311,Continuous,NA
yMOD,hba1c,missing,0,Continuous,NA
yMOD,cpeptidef,mean,3.5272861736334407,Continuous,NA
yMOD,cpeptidef,sd,1.410011710693243,Continuous,NA
yMOD,cpeptidef,median,3.3,Continuous,NA
yMOD,cpeptidef,q25,2.6799999999999997,Continuous,NA
yMOD,cpeptidef,q75,4.2,Continuous,NA
yMOD,cpeptidef,min,0.7,Continuous,NA
yMOD,cpeptidef,max,8.92,Continuous,NA
yMOD,cpeptidef,freq,311,Continuous,NA
yMOD,cpeptidef,missing,0,Continuous,NA
yMOD,sbp,mean,109.33193997860515,Continuous,NA
yMOD,sbp,sd,8.974445292354615,Continuous,NA
yMOD,sbp,median,109.5,Continuous,NA
yMOD,sbp,q25,103.5,Continuous,NA
yMOD,sbp,q75,115.25,Continuous,NA
yMOD,sbp,min,84.666666667,Continuous,NA
yMOD,sbp,max,134.66666667,Continuous,NA
yMOD,sbp,freq,311,Continuous,NA
yMOD,sbp,missing,0,Continuous,NA
yMOD,dbp,mean,64.19721329047331,Continuous,NA
yMOD,dbp,sd,7.411662761999401,Continuous,NA
yMOD,dbp,median,64,Continuous,NA
yMOD,dbp,q25,59.75,Continuous,NA
yMOD,dbp,q75,69.5,Continuous,NA
yMOD,dbp,min,42,Continuous,NA
yMOD,dbp,max,88,Continuous,NA
yMOD,dbp,freq,311,Continuous,NA
yMOD,dbp,missing,0,Continuous,NA
yMOD,ldlc,mean,80.20192926045016,Continuous,NA
yMOD,ldlc,sd,22.10953077531627,Continuous,NA
yMOD,ldlc,median,79,Continuous,NA
yMOD,ldlc,q25,64,Continuous,NA
yMOD,ldlc,q75,96,Continuous,NA
yMOD,ldlc,min,27,Continuous,NA
yMOD,ldlc,max,144,Continuous,NA
yMOD,ldlc,freq,311,Continuous,NA
yMOD,ldlc,missing,0,Continuous,NA
yMOD,hdlc,mean,37.13762057877813,Continuous,NA
yMOD,hdlc,sd,7.3114381973480205,Continuous,NA
yMOD,hdlc,median,36,Continuous,NA
yMOD,hdlc,q25,32,Continuous,NA
yMOD,hdlc,q75,42,Continuous,NA
yMOD,hdlc,min,13,Continuous,NA
yMOD,hdlc,max,67,Continuous,NA
yMOD,hdlc,freq,311,Continuous,NA
yMOD,hdlc,missing,0,Continuous,NA
yMOD,totalc,mean,140.15584415584416,Continuous,NA
yMOD,totalc,sd,27.852714034536024,Continuous,NA
yMOD,totalc,median,139,Continuous,NA
yMOD,totalc,q25,120,Continuous,NA
yMOD,totalc,q75,156,Continuous,NA
yMOD,totalc,min,77,Continuous,NA
yMOD,totalc,max,245,Continuous,NA
yMOD,totalc,freq,308,Continuous,NA
yMOD,totalc,missing,3,Continuous,NA
yMOD,insulinf,mean,26.24279279279279,Continuous,NA
yMOD,insulinf,sd,18.389843678945628,Continuous,NA
yMOD,insulinf,median,22.45,Continuous,NA
yMOD,insulinf,q25,15.05,Continuous,NA
yMOD,insulinf,q75,32.45,Continuous,NA
yMOD,insulinf,min,2.2,Continuous,NA
yMOD,insulinf,max,169.2,Continuous,NA
yMOD,insulinf,freq,222,Continuous,NA
yMOD,insulinf,missing,89,Continuous,NA
yMOD,tgl,mean,100.95555555555555,Continuous,NA
yMOD,tgl,sd,57.54088436073844,Continuous,NA
yMOD,tgl,median,86,Continuous,NA
yMOD,tgl,q25,65,Continuous,NA
yMOD,tgl,q75,120,Continuous,NA
yMOD,tgl,min,27,Continuous,NA
yMOD,tgl,max,428,Continuous,NA
yMOD,tgl,freq,225,Continuous,NA
yMOD,tgl,missing,86,Continuous,NA
yMOD,glucosef,mean,101.99555555555555,Continuous,NA
yMOD,glucosef,sd,18.164795665993648,Continuous,NA
yMOD,glucosef,median,97,Continuous,NA
yMOD,glucosef,q25,91,Continuous,NA
yMOD,glucosef,q75,109,Continuous,NA
yMOD,glucosef,min,70,Continuous,NA
yMOD,glucosef,max,214,Continuous,NA
yMOD,glucosef,freq,225,Continuous,NA
yMOD,glucosef,missing,86,Continuous,NA
ySIDD,bmi,mean,29.258901107783334,Continuous,NA
ySIDD,bmi,sd,6.071740545446993,Continuous,NA
ySIDD,bmi,median,29.928139520000002,Continuous,NA
ySIDD,bmi,q25,25.025230660750005,Continuous,NA
ySIDD,bmi,q75,32.14623634275,Continuous,NA
ySIDD,bmi,min,16.192858663,Continuous,NA
ySIDD,bmi,max,47.875519349,Continuous,NA
ySIDD,bmi,freq,120,Continuous,NA
ySIDD,bmi,missing,0,Continuous,NA
ySIDD,hba1c,mean,7.924666666666667,Continuous,NA
ySIDD,hba1c,sd,2.1936282570143897,Continuous,NA
ySIDD,hba1c,median,7.55,Continuous,NA
ySIDD,hba1c,q25,6.3,Continuous,NA
ySIDD,hba1c,q75,8.925,Continuous,NA
ySIDD,hba1c,min,5.1,Continuous,NA
ySIDD,hba1c,max,15,Continuous,NA
ySIDD,hba1c,freq,120,Continuous,NA
ySIDD,hba1c,missing,0,Continuous,NA
ySIDD,cpeptidef,mean,2.089583333333333,Continuous,NA
ySIDD,cpeptidef,sd,1.1449249917329423,Continuous,NA
ySIDD,cpeptidef,median,1.975,Continuous,NA
ySIDD,cpeptidef,q25,1.2570000000000001,Continuous,NA
ySIDD,cpeptidef,q75,2.8124999999999996,Continuous,NA
ySIDD,cpeptidef,min,0.05,Continuous,NA
ySIDD,cpeptidef,max,5.41,Continuous,NA
ySIDD,cpeptidef,freq,120,Continuous,NA
ySIDD,cpeptidef,missing,0,Continuous,NA
ySIDD,sbp,mean,109.66361111111667,Continuous,NA
ySIDD,sbp,sd,10.191064535695121,Continuous,NA
ySIDD,sbp,median,110.58333333499999,Continuous,NA
ySIDD,sbp,q25,102.6250000025,Continuous,NA
ySIDD,sbp,q75,116.66666667,Continuous,NA
ySIDD,sbp,min,87.333333333,Continuous,NA
ySIDD,sbp,max,139.33333333,Continuous,NA
ySIDD,sbp,freq,120,Continuous,NA
ySIDD,sbp,missing,0,Continuous,NA
ySIDD,dbp,mean,67.80972222224834,Continuous,NA
ySIDD,dbp,sd,8.159454765486272,Continuous,NA
ySIDD,dbp,median,68.666666667,Continuous,NA
ySIDD,dbp,q25,61.875,Continuous,NA
ySIDD,dbp,q75,73,Continuous,NA
ySIDD,dbp,min,45.333333333,Continuous,NA
ySIDD,dbp,max,86,Continuous,NA
ySIDD,dbp,freq,120,Continuous,NA
ySIDD,dbp,missing,0,Continuous,NA
ySIDD,ldlc,mean,109.39166666666667,Continuous,NA
ySIDD,ldlc,sd,30.141251732839645,Continuous,NA
ySIDD,ldlc,median,107.5,Continuous,NA
ySIDD,ldlc,q25,87.55,Continuous,NA
ySIDD,ldlc,q75,128.25,Continuous,NA
ySIDD,ldlc,min,40,Continuous,NA
ySIDD,ldlc,max,206,Continuous,NA
ySIDD,ldlc,freq,120,Continuous,NA
ySIDD,ldlc,missing,0,Continuous,NA
ySIDD,hdlc,mean,48.18,Continuous,NA
ySIDD,hdlc,sd,9.564162801000075,Continuous,NA
ySIDD,hdlc,median,48,Continuous,NA
ySIDD,hdlc,q25,41.45,Continuous,NA
ySIDD,hdlc,q75,53.05,Continuous,NA
ySIDD,hdlc,min,27,Continuous,NA
ySIDD,hdlc,max,75,Continuous,NA
ySIDD,hdlc,freq,120,Continuous,NA
ySIDD,hdlc,missing,0,Continuous,NA
ySIDD,totalc,mean,181.67857142857142,Continuous,NA
ySIDD,totalc,sd,36.56494020226003,Continuous,NA
ySIDD,totalc,median,181,Continuous,NA
ySIDD,totalc,q25,156.75,Continuous,NA
ySIDD,totalc,q75,204,Continuous,NA
ySIDD,totalc,min,106,Continuous,NA
ySIDD,totalc,max,326,Continuous,NA
ySIDD,totalc,freq,112,Continuous,NA
ySIDD,totalc,missing,8,Continuous,NA
ySIDD,insulinf,mean,20.003846153846155,Continuous,NA
ySIDD,insulinf,sd,10.268611620632296,Continuous,NA
ySIDD,insulinf,median,17.35,Continuous,NA
ySIDD,insulinf,q25,11.874999999999998,Continuous,NA
ySIDD,insulinf,q75,28.874999999999996,Continuous,NA
ySIDD,insulinf,min,6.4,Continuous,NA
ySIDD,insulinf,max,37.1,Continuous,NA
ySIDD,insulinf,freq,26,Continuous,NA
ySIDD,insulinf,missing,94,Continuous,NA
ySIDD,tgl,mean,82,Continuous,NA
ySIDD,tgl,sd,40.729350596345135,Continuous,NA
ySIDD,tgl,median,70,Continuous,NA
ySIDD,tgl,q25,53.75,Continuous,NA
ySIDD,tgl,q75,93.25,Continuous,NA
ySIDD,tgl,min,43,Continuous,NA
ySIDD,tgl,max,219,Continuous,NA
ySIDD,tgl,freq,26,Continuous,NA
ySIDD,tgl,missing,94,Continuous,NA
ySIDD,glucosef,mean,117.34615384615384,Continuous,NA
ySIDD,glucosef,sd,25.870357257204326,Continuous,NA
ySIDD,glucosef,median,121.5,Continuous,NA
ySIDD,glucosef,q25,97,Continuous,NA
ySIDD,glucosef,q75,135,Continuous,NA
ySIDD,glucosef,min,76,Continuous,NA
ySIDD,glucosef,max,170,Continuous,NA
ySIDD,glucosef,freq,26,Continuous,NA
ySIDD,glucosef,missing,94,Continuous,NA
ySIRD,bmi,mean,38.80175316880476,Continuous,NA
ySIRD,bmi,sd,7.296703661303348,Continuous,NA
ySIRD,bmi,median,38,Continuous,NA
ySIRD,bmi,q25,35.11901604075,Continuous,NA
ySIRD,bmi,q75,40.821057967,Continuous,NA
ySIRD,bmi,min,26.765297466,Continuous,NA
ySIRD,bmi,max,89.012019185,Continuous,NA
ySIRD,bmi,freq,210,Continuous,NA
ySIRD,bmi,missing,0,Continuous,NA
ySIRD,hba1c,mean,6.794761904761905,Continuous,NA
ySIRD,hba1c,sd,1.5101637131937293,Continuous,NA
ySIRD,hba1c,median,6.25,Continuous,NA
ySIRD,hba1c,q25,5.8,Continuous,NA
ySIRD,hba1c,q75,7.375000000000001,Continuous,NA
ySIRD,hba1c,min,4.9,Continuous,NA
ySIRD,hba1c,max,12.6,Continuous,NA
ySIRD,hba1c,freq,210,Continuous,NA
ySIRD,hba1c,missing,0,Continuous,NA
ySIRD,cpeptidef,mean,5.057447619047619,Continuous,NA
ySIRD,cpeptidef,sd,1.8445858911103323,Continuous,NA
ySIRD,cpeptidef,median,4.8,Continuous,NA
ySIRD,cpeptidef,q25,3.9074999999999998,Continuous,NA
ySIRD,cpeptidef,q75,6.24,Continuous,NA
ySIRD,cpeptidef,min,0.48,Continuous,NA
ySIRD,cpeptidef,max,11.4,Continuous,NA
ySIRD,cpeptidef,freq,210,Continuous,NA
ySIRD,cpeptidef,missing,0,Continuous,NA
ySIRD,sbp,mean,123.96666666680953,Continuous,NA
ySIRD,sbp,sd,9.393274144322504,Continuous,NA
ySIRD,sbp,median,123.33333333,Continuous,NA
ySIRD,sbp,q25,118.125,Continuous,NA
ySIRD,sbp,q75,128.5,Continuous,NA
ySIRD,sbp,min,100,Continuous,NA
ySIRD,sbp,max,156.5,Continuous,NA
ySIRD,sbp,freq,210,Continuous,NA
ySIRD,sbp,missing,0,Continuous,NA
ySIRD,dbp,mean,76.15714285709619,Continuous,NA
ySIRD,dbp,sd,9.114352054876328,Continuous,NA
ySIRD,dbp,median,75.5,Continuous,NA
ySIRD,dbp,q25,70,Continuous,NA
ySIRD,dbp,q75,81.875,Continuous,NA
ySIRD,dbp,min,55.333333333,Continuous,NA
ySIRD,dbp,max,107.33333333,Continuous,NA
ySIRD,dbp,freq,210,Continuous,NA
ySIRD,dbp,missing,0,Continuous,NA
ySIRD,ldlc,mean,95.65238095238095,Continuous,NA
ySIRD,ldlc,sd,27.544909290044224,Continuous,NA
ySIRD,ldlc,median,95,Continuous,NA
ySIRD,ldlc,q25,78,Continuous,NA
ySIRD,ldlc,q75,111,Continuous,NA
ySIRD,ldlc,min,23,Continuous,NA
ySIRD,ldlc,max,231,Continuous,NA
ySIRD,ldlc,freq,210,Continuous,NA
ySIRD,ldlc,missing,0,Continuous,NA
ySIRD,hdlc,mean,37.187619047619044,Continuous,NA
ySIRD,hdlc,sd,8.29898472187951,Continuous,NA
ySIRD,hdlc,median,36.4,Continuous,NA
ySIRD,hdlc,q25,32,Continuous,NA
ySIRD,hdlc,q75,42,Continuous,NA
ySIRD,hdlc,min,15,Continuous,NA
ySIRD,hdlc,max,66,Continuous,NA
ySIRD,hdlc,freq,210,Continuous,NA
ySIRD,hdlc,missing,0,Continuous,NA
ySIRD,totalc,mean,162.31034482758622,Continuous,NA
ySIRD,totalc,sd,36.333129215543444,Continuous,NA
ySIRD,totalc,median,159,Continuous,NA
ySIRD,totalc,q25,140,Continuous,NA
ySIRD,totalc,q75,182,Continuous,NA
ySIRD,totalc,min,54,Continuous,NA
ySIRD,totalc,max,330,Continuous,NA
ySIRD,totalc,freq,203,Continuous,NA
ySIRD,totalc,missing,7,Continuous,NA
ySIRD,insulinf,mean,43.42235294117647,Continuous,NA
ySIRD,insulinf,sd,27.750063820049256,Continuous,NA
ySIRD,insulinf,median,36,Continuous,NA
ySIRD,insulinf,q25,26.8,Continuous,NA
ySIRD,insulinf,q75,52,Continuous,NA
ySIRD,insulinf,min,6,Continuous,NA
ySIRD,insulinf,max,202.5,Continuous,NA
ySIRD,insulinf,freq,85,Continuous,NA
ySIRD,insulinf,missing,125,Continuous,NA
ySIRD,tgl,mean,133.12790697674419,Continuous,NA
ySIRD,tgl,sd,87.10720865848933,Continuous,NA
ySIRD,tgl,median,112.5,Continuous,NA
ySIRD,tgl,q25,72.75,Continuous,NA
ySIRD,tgl,q75,166.25,Continuous,NA
ySIRD,tgl,min,34,Continuous,NA
ySIRD,tgl,max,541,Continuous,NA
ySIRD,tgl,freq,86,Continuous,NA
ySIRD,tgl,missing,124,Continuous,NA
ySIRD,glucosef,mean,114.84883720930233,Continuous,NA
ySIRD,glucosef,sd,23.969842543771275,Continuous,NA
ySIRD,glucosef,median,108.5,Continuous,NA
ySIRD,glucosef,q25,98,Continuous,NA
ySIRD,glucosef,q75,130.75,Continuous,NA
ySIRD,glucosef,min,70,Continuous,NA
ySIRD,glucosef,max,192,Continuous,NA
ySIRD,glucosef,freq,86,Continuous,NA
ySIRD,glucosef,missing,124,Continuous,NA
Total,female,proportion,58.19032761310452,Proportion,NA
Total,female,freq,641,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,24.726134585289515,Proportion,NA
Total,insulin,freq,639,Proportion,NA
Total,insulin,missing,2,Proportion,NA
Total,metformin,proportion,82.31611893583725,Proportion,NA
Total,metformin,freq,639,Proportion,NA
Total,metformin,missing,2,Proportion,NA
yMOD,female,proportion,60.77170418006431,Proportion,NA
yMOD,female,freq,311,Proportion,NA
yMOD,female,missing,0,Proportion,NA
yMOD,insulin,proportion,11.935483870967742,Proportion,NA
yMOD,insulin,freq,310,Proportion,NA
yMOD,insulin,missing,1,Proportion,NA
yMOD,metformin,proportion,90.64516129032259,Proportion,NA
yMOD,metformin,freq,310,Proportion,NA
yMOD,metformin,missing,1,Proportion,NA
ySIDD,female,proportion,60,Proportion,NA
ySIDD,female,freq,120,Proportion,NA
ySIDD,female,missing,0,Proportion,NA
ySIDD,insulin,proportion,57.49999999999999,Proportion,NA
ySIDD,insulin,freq,120,Proportion,NA
ySIDD,insulin,missing,0,Proportion,NA
ySIDD,metformin,proportion,55.00000000000001,Proportion,NA
ySIDD,metformin,freq,120,Proportion,NA
ySIDD,metformin,missing,0,Proportion,NA
ySIRD,female,proportion,53.333333333333336,Proportion,NA
ySIRD,female,freq,210,Proportion,NA
ySIRD,female,missing,0,Proportion,NA
ySIRD,insulin,proportion,24.880382775119617,Proportion,NA
ySIRD,insulin,freq,209,Proportion,NA
ySIRD,insulin,missing,1,Proportion,NA
ySIRD,metformin,proportion,85.64593301435407,Proportion,NA
ySIRD,metformin,freq,209,Proportion,NA
ySIRD,metformin,missing,1,Proportion,NA
NA,cluster,proportion,100,Grouped,Total
NA,cluster,freq,641,Grouped,Total
NA,cluster,proportion,100,Grouped,yMOD
NA,cluster,freq,311,Grouped,yMOD
NA,cluster,proportion,100,Grouped,ySIDD
NA,cluster,freq,120,Grouped,ySIDD
NA,cluster,proportion,100,Grouped,ySIRD
NA,cluster,freq,210,Grouped,ySIRD
Total,study,proportion,47.425897035881434,Grouped,SEARCH
Total,study,freq,304,Grouped,SEARCH
Total,study,proportion,52.574102964118566,Grouped,TODAY
Total,study,freq,337,Grouped,TODAY
yMOD,study,proportion,27.65273311897106,Grouped,SEARCH
yMOD,study,freq,86,Grouped,SEARCH
yMOD,study,proportion,72.34726688102894,Grouped,TODAY
yMOD,study,freq,225,Grouped,TODAY
ySIDD,study,proportion,78.33333333333333,Grouped,SEARCH
ySIDD,study,freq,94,Grouped,SEARCH
ySIDD,study,proportion,21.666666666666668,Grouped,TODAY
ySIDD,study,freq,26,Grouped,TODAY
ySIRD,study,proportion,59.04761904761905,Grouped,SEARCH
ySIRD,study,freq,124,Grouped,SEARCH
ySIRD,study,proportion,40.95238095238095,Grouped,TODAY
ySIRD,study,freq,86,Grouped,TODAY
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,641,Grouped,<=5 months
yMOD,dmduration_category,proportion,100,Grouped,<=5 months
yMOD,dmduration_category,freq,311,Grouped,<=5 months
ySIDD,dmduration_category,proportion,100,Grouped,<=5 months
ySIDD,dmduration_category,freq,120,Grouped,<=5 months
ySIRD,dmduration_category,proportion,100,Grouped,<=5 months
ySIRD,dmduration_category,freq,210,Grouped,<=5 months
Total,age_category,proportion,22.776911076443056,Grouped,14-15
Total,age_category,freq,146,Grouped,14-15
Total,age_category,proportion,38.22152886115445,Grouped,<=13
Total,age_category,freq,245,Grouped,<=13
Total,age_category,proportion,39.0015600624025,Grouped,>15
Total,age_category,freq,250,Grouped,>15
yMOD,age_category,proportion,23.15112540192926,Grouped,14-15
yMOD,age_category,freq,72,Grouped,14-15
yMOD,age_category,proportion,38.58520900321543,Grouped,<=13
yMOD,age_category,freq,120,Grouped,<=13
yMOD,age_category,proportion,38.263665594855304,Grouped,>15
yMOD,age_category,freq,119,Grouped,>15
ySIDD,age_category,proportion,23.333333333333332,Grouped,14-15
ySIDD,age_category,freq,28,Grouped,14-15
ySIDD,age_category,proportion,40,Grouped,<=13
ySIDD,age_category,freq,48,Grouped,<=13
ySIDD,age_category,proportion,36.666666666666664,Grouped,>15
ySIDD,age_category,freq,44,Grouped,>15
ySIRD,age_category,proportion,21.904761904761905,Grouped,14-15
ySIRD,age_category,freq,46,Grouped,14-15
ySIRD,age_category,proportion,36.666666666666664,Grouped,<=13
ySIRD,age_category,freq,77,Grouped,<=13
ySIRD,age_category,proportion,41.42857142857143,Grouped,>15
ySIRD,age_category,freq,87,Grouped,>15
Total,race_eth,proportion,32.449297971918874,Grouped,Hispanic
Total,race_eth,freq,208,Grouped,Hispanic
Total,race_eth,proportion,31.981279251170047,Grouped,NH Black
Total,race_eth,freq,205,Grouped,NH Black
Total,race_eth,proportion,8.736349453978159,Grouped,NH Other
Total,race_eth,freq,56,Grouped,NH Other
Total,race_eth,proportion,26.83307332293292,Grouped,NH White
Total,race_eth,freq,172,Grouped,NH White
yMOD,race_eth,proportion,40.836012861736336,Grouped,Hispanic
yMOD,race_eth,freq,127,Grouped,Hispanic
yMOD,race_eth,proportion,25.723472668810288,Grouped,NH Black
yMOD,race_eth,freq,80,Grouped,NH Black
yMOD,race_eth,proportion,8.681672025723472,Grouped,NH Other
yMOD,race_eth,freq,27,Grouped,NH Other
yMOD,race_eth,proportion,24.758842443729904,Grouped,NH White
yMOD,race_eth,freq,77,Grouped,NH White
ySIDD,race_eth,proportion,22.5,Grouped,Hispanic
ySIDD,race_eth,freq,27,Grouped,Hispanic
ySIDD,race_eth,proportion,35,Grouped,NH Black
ySIDD,race_eth,freq,42,Grouped,NH Black
ySIDD,race_eth,proportion,8.333333333333334,Grouped,NH Other
ySIDD,race_eth,freq,10,Grouped,NH Other
ySIDD,race_eth,proportion,34.166666666666664,Grouped,NH White
ySIDD,race_eth,freq,41,Grouped,NH White
ySIRD,race_eth,proportion,25.714285714285715,Grouped,Hispanic
ySIRD,race_eth,freq,54,Grouped,Hispanic
ySIRD,race_eth,proportion,39.523809523809526,Grouped,NH Black
ySIRD,race_eth,freq,83,Grouped,NH Black
ySIRD,race_eth,proportion,9.047619047619047,Grouped,NH Other
ySIRD,race_eth,freq,19,Grouped,NH Other
ySIRD,race_eth,proportion,25.714285714285715,Grouped,NH White
ySIRD,race_eth,freq,54,Grouped,NH White
Total,bmipct,proportion,43.52574102964119,Grouped,<98.5
Total,bmipct,freq,279,Grouped,<98.5
Total,bmipct,proportion,56.47425897035881,Grouped,>=98.5
Total,bmipct,freq,362,Grouped,>=98.5
yMOD,bmipct,proportion,48.87459807073955,Grouped,<98.5
yMOD,bmipct,freq,152,Grouped,<98.5
yMOD,bmipct,proportion,51.12540192926045,Grouped,>=98.5
yMOD,bmipct,freq,159,Grouped,>=98.5
ySIDD,bmipct,proportion,80,Grouped,<98.5
ySIDD,bmipct,freq,96,Grouped,<98.5
ySIDD,bmipct,proportion,20,Grouped,>=98.5
ySIDD,bmipct,freq,24,Grouped,>=98.5
ySIRD,bmipct,proportion,14.761904761904763,Grouped,<98.5
ySIRD,bmipct,freq,31,Grouped,<98.5
ySIRD,bmipct,proportion,85.23809523809524,Grouped,>=98.5
ySIRD,bmipct,freq,179,Grouped,>=98.5
