study_sex,variable,est,value,type,group
Female_search,tgl,q25,NA,Continuous,NA
Female_search,tgl,q75,NA,Continuous,NA
Female_search,tgl,min,Inf,Continuous,NA
Female_search,tgl,max,-Inf,Continuous,NA
Female_search,tgl,freq,0,Continuous,NA
Female_search,tgl,missing,170,Continuous,NA
Female_search,glucosef,mean,NA,Continuous,NA
Female_search,glucosef,sd,NA,Continuous,NA
Female_search,glucosef,median,NA,Continuous,NA
Female_search,glucosef,q25,NA,Continuous,NA
Female_search,glucosef,q75,NA,Continuous,NA
Female_search,glucosef,min,Inf,Continuous,NA
Female_search,glucosef,max,-Inf,Continuous,NA
Female_search,glucosef,freq,0,Continuous,NA
Female_search,glucosef,missing,170,Continuous,NA
Female_today,bmi,mean,34.46061921182266,Continuous,NA
Female_today,bmi,sd,2.6348135853941534,Continuous,NA
Female_today,bmi,median,33.249,Continuous,NA
Female_today,bmi,q25,32,Continuous,NA
Female_today,bmi,q75,38,Continuous,NA
Female_today,bmi,min,32,Continuous,NA
Female_today,bmi,max,38,Continuous,NA
Female_today,bmi,freq,203,Continuous,NA
Female_today,bmi,missing,0,Continuous,NA
Female_today,hba1c,mean,5.946798029556651,Continuous,NA
Female_today,hba1c,sd,0.688467298702151,Continuous,NA
Female_today,hba1c,median,5.9,Continuous,NA
Female_today,hba1c,q25,5.5,Continuous,NA
Female_today,hba1c,q75,6.4,Continuous,NA
Female_today,hba1c,min,4.3,Continuous,NA
Female_today,hba1c,max,7.7,Continuous,NA
Female_today,hba1c,freq,203,Continuous,NA
Female_today,hba1c,missing,0,Continuous,NA
Female_today,cpeptidef,mean,3.865605911330049,Continuous,NA
Female_today,cpeptidef,sd,1.5698940881109387,Continuous,NA
Female_today,cpeptidef,median,3.57,Continuous,NA
Female_today,cpeptidef,q25,2.715,Continuous,NA
Female_today,cpeptidef,q75,4.83,Continuous,NA
Female_today,cpeptidef,min,1.17,Continuous,NA
Female_today,cpeptidef,max,8.92,Continuous,NA
Female_today,cpeptidef,freq,203,Continuous,NA
Female_today,cpeptidef,missing,0,Continuous,NA
Female_today,sbp,mean,111.54679802955665,Continuous,NA
Female_today,sbp,sd,10.529497796905872,Continuous,NA
Female_today,sbp,median,111,Continuous,NA
Female_today,sbp,q25,105,Continuous,NA
Female_today,sbp,q75,118,Continuous,NA
Female_today,sbp,min,86,Continuous,NA
Female_today,sbp,max,156.5,Continuous,NA
Female_today,sbp,freq,203,Continuous,NA
Female_today,sbp,missing,0,Continuous,NA
Female_today,dbp,mean,66.79802955665025,Continuous,NA
Female_today,dbp,sd,8.885052307891808,Continuous,NA
Female_today,dbp,median,66,Continuous,NA
Female_today,dbp,q25,61,Continuous,NA
Female_today,dbp,q75,72,Continuous,NA
Female_today,dbp,min,46,Continuous,NA
Female_today,dbp,max,96,Continuous,NA
Female_today,dbp,freq,203,Continuous,NA
Female_today,dbp,missing,0,Continuous,NA
Female_today,ldlc,mean,83.30049261083744,Continuous,NA
Female_today,ldlc,sd,23.43060851957792,Continuous,NA
Female_today,ldlc,median,83,Continuous,NA
Female_today,ldlc,q25,68,Continuous,NA
Female_today,ldlc,q75,99,Continuous,NA
Female_today,ldlc,min,27,Continuous,NA
Female_today,ldlc,max,156,Continuous,NA
Female_today,ldlc,freq,203,Continuous,NA
Female_today,ldlc,missing,0,Continuous,NA
Female_today,hdlc,mean,40.25615763546798,Continuous,NA
Female_today,hdlc,sd,9.274333741636953,Continuous,NA
Female_today,hdlc,median,39,Continuous,NA
Female_today,hdlc,q25,33.5,Continuous,NA
Female_today,hdlc,q75,45,Continuous,NA
Female_today,hdlc,min,26,Continuous,NA
Female_today,hdlc,max,75,Continuous,NA
Female_today,hdlc,freq,203,Continuous,NA
Female_today,hdlc,missing,0,Continuous,NA
Female_today,totalc,mean,144.807881773399,Continuous,NA
Female_today,totalc,sd,27.883021856806366,Continuous,NA
Female_today,totalc,median,145,Continuous,NA
Female_today,totalc,q25,125.5,Continuous,NA
Female_today,totalc,q75,160.5,Continuous,NA
Female_today,totalc,min,77,Continuous,NA
Female_today,totalc,max,242,Continuous,NA
Female_today,totalc,freq,203,Continuous,NA
Female_today,totalc,missing,0,Continuous,NA
Female_today,insulinf,mean,30.011881188118814,Continuous,NA
Female_today,insulinf,sd,19.11613518220201,Continuous,NA
Female_today,insulinf,median,26,Continuous,NA
Female_today,insulinf,q25,15.75,Continuous,NA
Female_today,insulinf,q75,38.849999999999994,Continuous,NA
Female_today,insulinf,min,2.2,Continuous,NA
Female_today,insulinf,max,102,Continuous,NA
Female_today,insulinf,freq,202,Continuous,NA
Female_today,insulinf,missing,1,Continuous,NA
Female_today,tgl,mean,107.15270935960591,Continuous,NA
Female_today,tgl,sd,61.73266646565386,Continuous,NA
Female_today,tgl,median,90,Continuous,NA
Female_today,tgl,q25,64,Continuous,NA
Female_today,tgl,q75,130,Continuous,NA
Female_today,tgl,min,27,Continuous,NA
Female_today,tgl,max,422,Continuous,NA
Female_today,tgl,freq,203,Continuous,NA
Female_today,tgl,missing,0,Continuous,NA
Female_today,glucosef,mean,105.52216748768473,Continuous,NA
Female_today,glucosef,sd,20.606479112583827,Continuous,NA
Female_today,glucosef,median,100,Continuous,NA
Female_today,glucosef,q25,91,Continuous,NA
Female_today,glucosef,q75,115,Continuous,NA
Female_today,glucosef,min,70,Continuous,NA
Female_today,glucosef,max,170,Continuous,NA
Female_today,glucosef,freq,203,Continuous,NA
Female_today,glucosef,missing,0,Continuous,NA
Male_search,bmi,mean,33.43789157734329,Continuous,NA
Male_search,bmi,sd,9.772784386939477,Continuous,NA
Male_search,bmi,median,33.79494284650001,Continuous,NA
Male_search,bmi,q25,26.370527042999996,Continuous,NA
Male_search,bmi,q75,38.55916271825,Continuous,NA
Male_search,bmi,min,16.192858663,Continuous,NA
Male_search,bmi,max,89.012019185,Continuous,NA
Male_search,bmi,freq,134,Continuous,NA
Male_search,bmi,missing,0,Continuous,NA
Male_search,hba1c,mean,7.360149253731343,Continuous,NA
Male_search,hba1c,sd,1.9379060030878563,Continuous,NA
Male_search,hba1c,median,6.85,Continuous,NA
Male_search,hba1c,q25,6,Continuous,NA
Male_search,hba1c,q75,8.4,Continuous,NA
Male_search,hba1c,min,4.9,Continuous,NA
Male_search,hba1c,max,14.6,Continuous,NA
Male_search,hba1c,freq,134,Continuous,NA
Male_search,hba1c,missing,0,Continuous,NA
Male_search,cpeptidef,mean,3.518776119402985,Continuous,NA
Male_search,cpeptidef,sd,2.3132397736189168,Continuous,NA
Male_search,cpeptidef,median,3.3,Continuous,NA
Male_search,cpeptidef,q25,1.6275000000000002,Continuous,NA
Male_search,cpeptidef,q75,4.6,Continuous,NA
Male_search,cpeptidef,min,0.05,Continuous,NA
Male_search,cpeptidef,max,11.4,Continuous,NA
Male_search,cpeptidef,freq,134,Continuous,NA
Male_search,cpeptidef,missing,0,Continuous,NA
Male_search,sbp,mean,117.99502487590746,Continuous,NA
Male_search,sbp,sd,12.331683495631495,Continuous,NA
Male_search,sbp,median,118.66666667,Continuous,NA
Male_search,sbp,q25,110.66666667,Continuous,NA
Male_search,sbp,q75,126.66666667,Continuous,NA
Male_search,sbp,min,86.666666667,Continuous,NA
Male_search,sbp,max,148.66666667,Continuous,NA
Male_search,sbp,freq,134,Continuous,NA
Male_search,sbp,missing,0,Continuous,NA
Male_search,dbp,mean,72.16069651739552,Continuous,NA
Male_search,dbp,sd,10.52026794358389,Continuous,NA
Male_search,dbp,median,72,Continuous,NA
Male_search,dbp,q25,64.666666667,Continuous,NA
Male_search,dbp,q75,79.333333333,Continuous,NA
Male_search,dbp,min,48.666666667,Continuous,NA
Male_search,dbp,max,107.33333333,Continuous,NA
Male_search,dbp,freq,134,Continuous,NA
Male_search,dbp,missing,0,Continuous,NA
Male_search,ldlc,mean,98.05074626865671,Continuous,NA
Male_search,ldlc,sd,29.28171372780958,Continuous,NA
Male_search,ldlc,median,96.5,Continuous,NA
Male_search,ldlc,q25,79.25,Continuous,NA
Male_search,ldlc,q75,113,Continuous,NA
Male_search,ldlc,min,36,Continuous,NA
Male_search,ldlc,max,206,Continuous,NA
Male_search,ldlc,freq,134,Continuous,NA
Male_search,ldlc,missing,0,Continuous,NA
Male_search,hdlc,mean,38.223880597014926,Continuous,NA
Male_search,hdlc,sd,10.3071052148723,Continuous,NA
Male_search,hdlc,median,37,Continuous,NA
Male_search,hdlc,q25,31,Continuous,NA
Male_search,hdlc,q75,45.95,Continuous,NA
Male_search,hdlc,min,13,Continuous,NA
Male_search,hdlc,max,65,Continuous,NA
Male_search,hdlc,freq,134,Continuous,NA
Male_search,hdlc,missing,0,Continuous,NA
Male_search,totalc,mean,168.008,Continuous,NA
Male_search,totalc,sd,38.42766476582774,Continuous,NA
Male_search,totalc,median,165,Continuous,NA
Male_search,totalc,q25,143,Continuous,NA
Male_search,totalc,q75,186,Continuous,NA
Male_search,totalc,min,93,Continuous,NA
Male_search,totalc,max,326,Continuous,NA
Male_search,totalc,freq,125,Continuous,NA
Male_search,totalc,missing,9,Continuous,NA
Male_search,insulinf,mean,NA,Continuous,NA
Male_search,insulinf,sd,NA,Continuous,NA
Male_search,insulinf,median,NA,Continuous,NA
Male_search,insulinf,q25,NA,Continuous,NA
Male_search,insulinf,q75,NA,Continuous,NA
Male_search,insulinf,min,Inf,Continuous,NA
Male_search,insulinf,max,-Inf,Continuous,NA
Male_search,insulinf,freq,0,Continuous,NA
Male_search,insulinf,missing,134,Continuous,NA
Male_search,tgl,mean,NA,Continuous,NA
Male_search,tgl,sd,NA,Continuous,NA
Male_search,tgl,median,NA,Continuous,NA
Male_search,tgl,q25,NA,Continuous,NA
Male_search,tgl,q75,NA,Continuous,NA
Male_search,tgl,min,Inf,Continuous,NA
Male_search,tgl,max,-Inf,Continuous,NA
Male_search,tgl,freq,0,Continuous,NA
Male_search,tgl,missing,134,Continuous,NA
Male_search,glucosef,mean,NA,Continuous,NA
Male_search,glucosef,sd,NA,Continuous,NA
Male_search,glucosef,median,NA,Continuous,NA
Male_search,glucosef,q25,NA,Continuous,NA
Male_search,glucosef,q75,NA,Continuous,NA
Male_search,glucosef,min,Inf,Continuous,NA
Male_search,glucosef,max,-Inf,Continuous,NA
Male_search,glucosef,freq,0,Continuous,NA
Male_search,glucosef,missing,134,Continuous,NA
Male_today,bmi,mean,34.64938656716418,Continuous,NA
Male_today,bmi,sd,2.563684951108464,Continuous,NA
Male_today,bmi,median,34.5115,Continuous,NA
Male_today,bmi,q25,32,Continuous,NA
Male_today,bmi,q75,37.950775,Continuous,NA
Male_today,bmi,min,32,Continuous,NA
Male_today,bmi,max,38,Continuous,NA
Male_today,bmi,freq,134,Continuous,NA
Male_today,bmi,missing,0,Continuous,NA
Male_today,hba1c,mean,5.861194029850746,Continuous,NA
Male_today,hba1c,sd,0.6685086586806537,Continuous,NA
Male_today,hba1c,median,5.8,Continuous,NA
Male_today,hba1c,q25,5.4,Continuous,NA
Male_today,hba1c,q75,6.2,Continuous,NA
Male_today,hba1c,min,4.6,Continuous,NA
Male_today,hba1c,max,7.9,Continuous,NA
Male_today,hba1c,freq,134,Continuous,NA
Male_today,hba1c,missing,0,Continuous,NA
Male_today,cpeptidef,mean,3.697910447761194,Continuous,NA
Male_today,cpeptidef,sd,1.5356603608219488,Continuous,NA
Male_today,cpeptidef,median,3.515,Continuous,NA
Male_today,cpeptidef,q25,2.7125000000000004,Continuous,NA
Male_today,cpeptidef,q75,4.3925,Continuous,NA
Male_today,cpeptidef,min,1.04,Continuous,NA
Male_today,cpeptidef,max,8.6,Continuous,NA
Male_today,cpeptidef,freq,134,Continuous,NA
Male_today,cpeptidef,missing,0,Continuous,NA
Male_today,sbp,mean,115.29850746268657,Continuous,NA
Male_today,sbp,sd,10.501184931884026,Continuous,NA
Male_today,sbp,median,116,Continuous,NA
Male_today,sbp,q25,109,Continuous,NA
Male_today,sbp,q75,122.5,Continuous,NA
Male_today,sbp,min,86,Continuous,NA
Male_today,sbp,max,142,Continuous,NA
Male_today,sbp,freq,134,Continuous,NA
Male_today,sbp,missing,0,Continuous,NA
Male_today,dbp,mean,66.50373134328358,Continuous,NA
Male_today,dbp,sd,8.23217972136632,Continuous,NA
Male_today,dbp,median,66.5,Continuous,NA
Male_today,dbp,q25,61,Continuous,NA
Male_today,dbp,q75,72.375,Continuous,NA
Male_today,dbp,min,42,Continuous,NA
Male_today,dbp,max,85.5,Continuous,NA
Male_today,dbp,freq,134,Continuous,NA
Male_today,dbp,missing,0,Continuous,NA
Male_today,ldlc,mean,83.57910447761193,Continuous,NA
Male_today,ldlc,sd,24.668999981642255,Continuous,NA
Male_today,ldlc,median,81,Continuous,NA
Male_today,ldlc,q25,67.25,Continuous,NA
Male_today,ldlc,q75,100.5,Continuous,NA
Male_today,ldlc,min,23,Continuous,NA
Male_today,ldlc,max,153,Continuous,NA
Male_today,ldlc,freq,134,Continuous,NA
Male_today,ldlc,missing,0,Continuous,NA
Male_today,hdlc,mean,36.78955223880597,Continuous,NA
Male_today,hdlc,sd,8.16581236175102,Continuous,NA
Male_today,hdlc,median,35,Continuous,NA
Male_today,hdlc,q25,31,Continuous,NA
Male_today,hdlc,q75,42.75,Continuous,NA
Male_today,hdlc,min,17,Continuous,NA
Male_today,hdlc,max,64,Continuous,NA
Male_today,hdlc,freq,134,Continuous,NA
Male_today,hdlc,missing,0,Continuous,NA
Male_today,totalc,mean,141.32835820895522,Continuous,NA
Male_today,totalc,sd,29.74194175806103,Continuous,NA
Male_today,totalc,median,140,Continuous,NA
Male_today,totalc,q25,122.25,Continuous,NA
Male_today,totalc,q75,158.75,Continuous,NA
Male_today,totalc,min,54,Continuous,NA
Male_today,totalc,max,220,Continuous,NA
Male_today,totalc,freq,134,Continuous,NA
Male_today,totalc,missing,0,Continuous,NA
Male_today,insulinf,mean,30.33969465648855,Continuous,NA
Male_today,insulinf,sd,26.2591220176307,Continuous,NA
Male_today,insulinf,median,24.7,Continuous,NA
Male_today,insulinf,q25,17.55,Continuous,NA
Male_today,insulinf,q75,34.05,Continuous,NA
Male_today,insulinf,min,4.9,Continuous,NA
Male_today,insulinf,max,202.5,Continuous,NA
Male_today,insulinf,freq,131,Continuous,NA
Male_today,insulinf,missing,3,Continuous,NA
Male_today,tgl,mean,108.53731343283582,Continuous,NA
Male_today,tgl,sd,74.64851540974185,Continuous,NA
Male_today,tgl,median,87.5,Continuous,NA
Male_today,tgl,q25,65,Continuous,NA
Male_today,tgl,q75,123.75,Continuous,NA
Male_today,tgl,min,30,Continuous,NA
Male_today,tgl,max,541,Continuous,NA
Male_today,tgl,freq,134,Continuous,NA
Male_today,tgl,missing,0,Continuous,NA
Male_today,glucosef,mean,107.88059701492537,Continuous,NA
Male_today,glucosef,sd,22.423485531921475,Continuous,NA
Male_today,glucosef,median,101,Continuous,NA
Male_today,glucosef,q25,93.25,Continuous,NA
Male_today,glucosef,q75,118.5,Continuous,NA
Male_today,glucosef,min,74,Continuous,NA
Male_today,glucosef,max,214,Continuous,NA
Male_today,glucosef,freq,134,Continuous,NA
Male_today,glucosef,missing,0,Continuous,NA
Total,bmi,mean,34.453950187666145,Continuous,NA
Total,bmi,sd,6.529149401619285,Continuous,NA
Total,bmi,median,33.7837,Continuous,NA
Total,bmi,q25,32,Continuous,NA
Total,bmi,q75,38,Continuous,NA
Total,bmi,min,16.192858663,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,641,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.554539781591264,Continuous,NA
Total,hba1c,sd,1.5897439304587948,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.6,Continuous,NA
Total,hba1c,q75,7,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,641,Continuous,NA
Total,hba1c,missing,0,Continuous,NA
Total,cpeptidef,mean,3.7594383775351012,Continuous,NA
Total,cpeptidef,sd,1.849248025303086,Continuous,NA
Total,cpeptidef,median,3.5,Continuous,NA
Total,cpeptidef,q25,2.54,Continuous,NA
Total,cpeptidef,q75,4.778,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,641,Continuous,NA
Total,cpeptidef,missing,0,Continuous,NA
Total,sbp,mean,114.18855954244961,Continuous,NA
Total,sbp,sd,11.567626978465876,Continuous,NA
Total,sbp,median,113.5,Continuous,NA
Total,sbp,q25,106.5,Continuous,NA
Total,sbp,q75,121.33333333,Continuous,NA
Total,sbp,min,84.666666667,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,641,Continuous,NA
Total,sbp,missing,0,Continuous,NA
Total,dbp,mean,68.7917316692624,Continuous,NA
Total,dbp,sd,9.713622804368132,Continuous,NA
Total,dbp,median,68.5,Continuous,NA
Total,dbp,q25,62,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,42,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,641,Continuous,NA
Total,dbp,missing,0,Continuous,NA
Total,ldlc,mean,90.72823712948518,Continuous,NA
Total,ldlc,sd,27.938885841129775,Continuous,NA
Total,ldlc,median,88,Continuous,NA
Total,ldlc,q25,71,Continuous,NA
Total,ldlc,q75,108,Continuous,NA
Total,ldlc,min,23,Continuous,NA
Total,ldlc,max,231,Continuous,NA
Total,ldlc,freq,641,Continuous,NA
Total,ldlc,missing,0,Continuous,NA
Total,hdlc,mean,39.22121684867395,Continuous,NA
Total,hdlc,sd,9.160147331891867,Continuous,NA
Total,hdlc,median,38,Continuous,NA
Total,hdlc,q25,33,Continuous,NA
Total,hdlc,q75,45,Continuous,NA
Total,hdlc,min,13,Continuous,NA
Total,hdlc,max,75,Continuous,NA
Total,hdlc,freq,641,Continuous,NA
Total,hdlc,missing,0,Continuous,NA
Total,totalc,mean,154.8394863563403,Continuous,NA
Total,totalc,sd,36.12331391353615,Continuous,NA
Total,totalc,median,151,Continuous,NA
Total,totalc,q25,130,Continuous,NA
Total,totalc,q75,175,Continuous,NA
Total,totalc,min,54,Continuous,NA
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,623,Continuous,NA
Total,totalc,missing,18,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,308,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,304,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,304,Continuous,NA
Female_search,female,proportion,100,Proportion,NA
Female_search,female,freq,170,Proportion,NA
Female_search,female,missing,0,Proportion,NA
Female_search,insulin,proportion,51.17647058823529,Proportion,NA
Female_search,insulin,freq,170,Proportion,NA
Female_search,insulin,missing,0,Proportion,NA
Female_search,metformin,proportion,66.47058823529412,Proportion,NA
Female_search,metformin,freq,170,Proportion,NA
Female_search,metformin,missing,0,Proportion,NA
Female_search,dmfamilyhistory,proportion,51.17647058823529,Proportion,NA
Female_search,dmfamilyhistory,freq,170,Proportion,NA
Female_search,dmfamilyhistory,missing,0,Proportion,NA
Female_today,female,proportion,100,Proportion,NA
Female_today,female,freq,203,Proportion,NA
Female_today,female,missing,0,Proportion,NA
Female_today,insulin,proportion,0,Proportion,NA
Female_today,insulin,freq,203,Proportion,NA
Female_today,insulin,missing,0,Proportion,NA
Female_today,metformin,proportion,100,Proportion,NA
Female_today,metformin,freq,203,Proportion,NA
Female_today,metformin,missing,0,Proportion,NA
Female_today,dmfamilyhistory,proportion,88.17733990147784,Proportion,NA
Female_today,dmfamilyhistory,freq,203,Proportion,NA
Female_today,dmfamilyhistory,missing,0,Proportion,NA
Male_search,female,proportion,0,Proportion,NA
Male_search,female,freq,134,Proportion,NA
Male_search,female,missing,0,Proportion,NA
Male_search,insulin,proportion,53.78787878787878,Proportion,NA
Male_search,insulin,freq,132,Proportion,NA
Male_search,insulin,missing,2,Proportion,NA
Male_search,metformin,proportion,57.57575757575758,Proportion,NA
Male_search,metformin,freq,132,Proportion,NA
Male_search,metformin,missing,2,Proportion,NA
Male_search,dmfamilyhistory,proportion,50.74626865671642,Proportion,NA
Male_search,dmfamilyhistory,freq,134,Proportion,NA
Male_search,dmfamilyhistory,missing,0,Proportion,NA
Male_today,female,proportion,0,Proportion,NA
Male_today,female,freq,134,Proportion,NA
Male_today,female,missing,0,Proportion,NA
Male_today,insulin,proportion,0,Proportion,NA
Male_today,insulin,freq,134,Proportion,NA
Male_today,insulin,missing,0,Proportion,NA
Male_today,metformin,proportion,100,Proportion,NA
Male_today,metformin,freq,134,Proportion,NA
Male_today,metformin,missing,0,Proportion,NA
Male_today,dmfamilyhistory,proportion,90.29850746268657,Proportion,NA
Male_today,dmfamilyhistory,freq,134,Proportion,NA
Male_today,dmfamilyhistory,missing,0,Proportion,NA
Total,female,proportion,58.19032761310452,Proportion,NA
Total,female,freq,641,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,24.726134585289515,Proportion,NA
Total,insulin,freq,639,Proportion,NA
Total,insulin,missing,2,Proportion,NA
Total,metformin,proportion,82.31611893583725,Proportion,NA
Total,metformin,freq,639,Proportion,NA
Total,metformin,missing,2,Proportion,NA
Total,dmfamilyhistory,proportion,70.98283931357254,Proportion,NA
Total,dmfamilyhistory,freq,641,Proportion,NA
Total,dmfamilyhistory,missing,0,Proportion,NA
Female_search,cluster,proportion,31.176470588235293,Grouped,yIDD
Female_search,cluster,freq,53,Grouped,yIDD
Female_search,cluster,proportion,38.23529411764706,Grouped,yIRD
Female_search,cluster,freq,65,Grouped,yIRD
Female_search,cluster,proportion,30.58823529411765,Grouped,yOD
Female_search,cluster,freq,52,Grouped,yOD
Female_today,cluster,proportion,9.35960591133005,Grouped,yIDD
Female_today,cluster,freq,19,Grouped,yIDD
Female_today,cluster,proportion,23.15270935960591,Grouped,yIRD
Female_today,cluster,freq,47,Grouped,yIRD
Female_today,cluster,proportion,67.48768472906404,Grouped,yOD
Female_today,cluster,freq,137,Grouped,yOD
Male_search,cluster,proportion,30.597014925373134,Grouped,yIDD
Male_search,cluster,freq,41,Grouped,yIDD
Male_search,cluster,proportion,44.02985074626866,Grouped,yIRD
Male_search,cluster,freq,59,Grouped,yIRD
Male_search,cluster,proportion,25.37313432835821,Grouped,yOD
Male_search,cluster,freq,34,Grouped,yOD
Male_today,cluster,proportion,5.223880597014926,Grouped,yIDD
Male_today,cluster,freq,7,Grouped,yIDD
Male_today,cluster,proportion,29.104477611940297,Grouped,yIRD
Male_today,cluster,freq,39,Grouped,yIRD
Male_today,cluster,proportion,65.67164179104478,Grouped,yOD
